recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,customer_types,customer_types
5,224.49,1,1,1,1,3,1,0,2,2
12,71.27,1,0,3,0,1,0,0,0,0
1,410.79,1,0,3,0,3,0,1,1,1
12,79.38,1,0,1,0,1,0,0,0,0
7,29.99,0,1,2,1,2,-1,0,2,2
4,189.88,0,1,1,0,1,-1,0,2,2
1,31.98,0,1,2,0,2,-1,0,2,2
2,1007.24,1,1,3,1,1,0,0,0,0
6,760.17,0,1,1,1,3,0,0,0,0
4,78.94,0,1,1,1,1,0,0,0,0
1,108.77,0,1,3,0,1,-1,0,2,2
9,37.84,0,1,2,1,2,1,0,2,2
9,393.98,1,0,1,0,1,1,0,2,2
7,156.62,0,1,2,0,2,0,0,0,0
5,30.08,1,0,1,0,1,0,0,0,0
9,164.28,0,1,1,0,2,0,0,0,0
5,90.21,1,0,3,0,2,0,0,0,0
11,269.56,0,1,3,0,1,1,0,2,2
1,40.18,0,1,1,0,2,1,1,3,3
10,60.26,1,0,2,1,2,-1,0,2,2
10,142.01,0,1,1,1,1,1,0,2,2
10,305.06,1,0,1,0,2,-1,0,2,2
1,254.69,1,1,2,0,3,0,0,0,0
9,104.64,0,1,2,1,1,0,0,0,0
9,104.08,0,1,2,0,2,1,0,2,2
9,498.82,0,1,3,0,2,1,0,2,2
11,29.99,0,1,1,0,2,0,0,0,0
9,29.99,1,0,2,1,2,1,0,2,2
1,630.19,1,1,1,1,2,0,1,1,1
12,88.38,0,1,2,0,2,1,0,2,2
12,29.99,1,0,1,1,1,1,0,2,2
2,100.01,0,1,1,1,1,-1,0,2,2
2,39.05,1,0,1,0,1,0,0,0,0
1,412.4,0,1,3,0,2,-1,0,2,2
1,152.18,0,1,1,1,2,1,0,2,2
9,74.28,1,0,2,0,2,0,0,0,0
3,88.98,1,0,3,0,1,0,1,1,1
5,446.86,0,1,2,0,2,-1,0,2,2
5,852.28,1,0,1,1,2,-1,0,2,2
3,63.1,0,1,3,1,1,0,0,0,0
7,327.06,0,1,2,1,3,0,0,0,0
9,103.69,0,1,2,0,1,0,0,0,0
10,29.99,1,0,2,1,2,1,0,2,2
11,29.99,0,1,2,1,2,-1,0,2,2
4,37.75,0,1,2,0,2,1,1,3,3
12,29.99,1,0,1,1,1,0,0,0,0
3,29.99,1,0,1,1,2,-1,0,2,2
2,537.77,0,1,2,1,1,1,0,2,2
10,554.84,0,1,3,1,3,-1,0,2,2
1,29.99,0,1,2,1,1,1,0,2,2
2,105.18,1,0,2,1,1,0,0,0,0
1,245.63,1,1,2,0,2,-1,1,3,3
11,92.0,0,1,3,1,1,1,0,2,2
1,576.29,0,1,3,1,2,0,0,0,0
6,244.53,0,1,1,1,1,-1,0,2,2
9,411.83,0,1,3,0,3,1,1,3,3
8,63.73,1,0,1,0,1,0,0,0,0
10,29.99,1,0,2,1,1,1,0,2,2
2,352.13,0,1,1,0,1,-1,0,2,2
11,39.38,0,1,1,0,2,1,1,3,3
8,29.99,0,1,1,0,1,1,0,2,2
2,72.15,0,1,3,1,1,1,0,2,2
4,614.13,1,1,3,1,3,0,1,1,1
10,29.99,1,0,2,1,1,1,0,2,2
7,161.46,0,1,1,1,1,1,0,2,2
6,144.07,0,1,3,0,2,0,0,0,0
1,29.99,1,0,2,1,2,-1,1,3,3
9,507.09,0,1,3,1,1,-1,0,2,2
2,766.77,0,1,2,1,2,1,0,2,2
3,1694.68,1,1,3,1,3,0,1,1,1
5,491.41,1,0,2,0,1,0,0,0,0
1,278.72,1,0,1,0,1,-1,0,2,2
6,44.33,0,1,1,0,2,-1,0,2,2
11,146.22,0,1,1,1,2,1,0,2,2
6,253.67,0,1,3,0,2,-1,0,2,2
4,551.47,1,0,3,1,1,0,0,0,0
9,167.16,1,0,3,0,1,-1,1,3,3
1,159.63,0,1,1,1,2,1,1,3,3
7,143.72,0,1,3,0,2,0,0,0,0
11,406.63,0,1,2,0,3,-1,1,3,3
7,234.32,1,0,1,0,2,0,0,0,0
4,102.21,1,0,2,1,2,0,0,0,0
10,29.99,1,0,2,0,1,1,0,2,2
10,35.15,1,0,2,1,2,-1,0,2,2
1,219.73,0,1,1,0,3,1,0,2,2
5,29.99,0,1,1,1,1,0,0,0,0
10,37.31,0,1,3,1,2,-1,0,2,2
4,165.2,0,1,3,0,1,1,0,2,2
10,147.78,0,1,3,1,2,1,0,2,2
11,143.3,0,1,2,0,1,-1,0,2,2
5,30.1,0,1,3,0,2,-1,0,2,2
7,316.41,1,1,1,1,3,0,1,1,1
3,655.84,1,1,1,1,1,0,0,0,0
10,194.84,1,0,3,1,1,1,0,2,2
11,406.69,1,1,2,0,2,-1,0,2,2
12,275.21,1,0,1,0,2,0,0,0,0
2,443.5,1,0,2,1,3,-1,1,3,3
2,211.12,0,1,1,0,2,-1,0,2,2
10,53.36,1,0,2,1,2,-1,0,2,2
3,542.46,0,1,3,1,3,1,0,2,2
1,209.56,0,1,3,0,1,1,0,2,2
1,439.93,1,1,3,1,3,0,0,0,0
2,678.04,1,1,2,1,2,0,0,0,0
10,51.62,0,1,1,0,2,0,0,0,0
2,776.24,1,1,2,1,3,0,0,0,0
12,29.99,1,0,1,0,2,-1,1,3,3
3,96.15,1,0,2,0,2,0,0,0,0
8,147.97,1,0,1,0,1,0,0,0,0
1,724.79,0,1,1,1,1,1,0,2,2
3,425.0,1,0,2,0,3,-1,0,2,2
5,133.73,1,0,1,0,1,0,0,0,0
12,73.7,0,1,1,0,2,1,0,2,2
3,108.49,0,1,3,1,1,-1,0,2,2
11,29.99,1,0,1,1,2,0,0,0,0
3,60.73,1,0,2,0,1,-1,0,2,2
3,265.03,1,0,2,0,2,-1,0,2,2
2,498.52,0,1,3,0,2,0,0,0,0
9,327.7,1,1,1,0,1,-1,0,2,2
2,117.41,1,0,2,0,1,1,0,2,2
8,952.01,0,1,1,1,1,-1,0,2,2
7,627.1,1,0,1,1,2,-1,0,2,2
5,183.63,1,0,1,0,1,-1,0,2,2
8,540.86,0,1,2,1,3,-1,0,2,2
11,29.99,1,0,2,0,2,0,0,0,0
7,82.41,0,1,1,1,2,-1,0,2,2
12,159.86,1,0,2,1,1,1,0,2,2
10,67.16,1,0,3,0,2,1,0,2,2
10,81.2,0,1,1,0,1,-1,1,3,3
2,111.47,0,1,2,0,2,0,0,0,0
3,178.59,0,1,2,1,2,0,0,0,0
8,117.86,1,0,2,0,2,-1,0,2,2
8,76.35,0,1,1,1,2,-1,0,2,2
1,564.19,0,1,1,1,3,-1,1,3,3
11,36.91,0,1,2,0,1,0,0,0,0
3,232.91,0,1,3,0,1,0,1,1,1
11,334.25,0,1,2,0,2,1,0,2,2
10,668.11,0,1,1,1,2,0,1,1,1
8,45.44,0,1,2,1,1,-1,0,2,2
2,76.53,1,0,3,0,1,1,1,3,3
5,81.84,1,0,3,0,2,-1,0,2,2
7,410.87,1,1,1,0,2,0,1,1,1
4,134.19,0,1,1,1,2,0,0,0,0
2,29.99,1,0,1,0,1,-1,1,3,3
2,366.24,1,1,1,0,1,-1,1,3,3
12,890.77,1,1,1,1,3,1,1,3,3
3,29.99,0,1,2,1,1,1,0,2,2
1,29.99,0,1,2,0,1,-1,1,3,3
4,285.74,0,1,1,0,1,1,1,3,3
4,47.46,0,1,1,0,1,0,0,0,0
1,149.53,0,1,1,1,1,-1,0,2,2
2,29.99,0,1,1,0,2,1,1,3,3
1,223.08,0,1,2,0,2,-1,0,2,2
10,261.42,1,0,1,1,1,-1,0,2,2
6,64.72,1,0,1,0,1,0,0,0,0
1,73.17,1,0,2,0,1,1,0,2,2
6,245.62,0,1,1,0,3,-1,0,2,2
10,37.99,0,1,2,0,1,0,0,0,0
7,45.14,0,1,1,0,1,-1,0,2,2
3,208.15,0,1,1,0,3,-1,0,2,2
6,181.74,1,0,1,0,2,1,1,3,3
3,278.48,0,1,2,0,2,0,0,0,0
10,29.99,1,0,1,1,2,0,0,0,0
1,161.03,1,0,2,1,2,0,0,0,0
1,1029.36,1,1,2,1,3,0,1,1,1
6,232.34,0,1,2,0,1,-1,0,2,2
3,29.99,0,1,1,1,2,1,0,2,2
11,626.31,1,1,1,1,2,-1,0,2,2
3,101.59,0,1,3,0,1,1,0,2,2
10,65.37,0,1,1,0,1,0,0,0,0
5,193.4,0,1,2,0,1,-1,0,2,2
10,90.52,0,1,1,0,1,-1,0,2,2
7,29.99,0,1,2,1,1,1,0,2,2
1,367.17,1,0,1,0,3,1,0,2,2
1,354.87,1,0,2,0,1,1,0,2,2
11,49.26,1,0,2,1,1,0,1,1,1
1,127.41,0,1,1,1,1,1,0,2,2
10,492.02,1,0,1,1,1,1,0,2,2
1,96.03,0,1,3,1,2,-1,0,2,2
9,383.89,1,1,2,1,2,1,0,2,2
10,139.67,1,0,1,1,1,1,0,2,2
9,186.81,0,1,1,0,1,1,0,2,2
6,254.41,0,1,2,1,3,0,0,0,0
7,86.46,0,1,2,0,1,-1,0,2,2
6,106.98,1,0,2,0,1,1,0,2,2
6,176.42,1,0,3,1,1,1,1,3,3
2,252.91,1,0,2,0,1,-1,0,2,2
8,104.79,1,0,2,1,1,1,0,2,2
10,293.55,0,1,1,0,2,0,0,0,0
4,374.11,0,1,2,1,2,-1,0,2,2
5,376.49,1,1,3,0,3,-1,1,3,3
8,454.94,0,1,1,0,1,1,0,2,2
9,203.46,1,0,1,1,2,-1,0,2,2
3,694.46,0,1,2,1,1,1,0,2,2
1,129.06,0,1,2,1,2,0,1,1,1
3,569.87,0,1,1,1,2,-1,0,2,2
4,1195.85,0,1,3,1,2,0,0,0,0
2,29.99,0,1,1,1,2,0,0,0,0
9,140.82,1,0,2,0,2,-1,0,2,2
1,387.3,0,1,3,1,2,1,0,2,2
7,29.99,0,1,1,1,1,1,0,2,2
5,146.96,0,1,3,1,2,-1,1,3,3
9,29.99,0,1,1,0,2,1,0,2,2
10,134.13,0,1,1,0,1,-1,0,2,2
8,122.87,0,1,2,1,2,1,0,2,2
5,422.85,0,1,1,0,3,0,0,0,0
2,179.81,1,0,1,1,1,1,0,2,2
1,508.26,0,1,1,1,3,-1,1,3,3
2,29.99,0,1,2,0,1,0,0,0,0
1,29.99,0,1,1,0,2,-1,0,2,2
10,203.49,1,0,1,1,2,1,0,2,2
2,107.01,1,0,1,1,2,-1,0,2,2
6,41.65,0,1,1,1,2,0,0,0,0
1,134.14,1,0,1,1,2,1,1,3,3
12,348.25,1,0,3,0,3,0,0,0,0
10,190.88,1,0,3,1,1,1,0,2,2
10,483.76,0,1,2,0,2,-1,0,2,2
3,176.45,0,1,2,0,2,-1,0,2,2
3,48.33,0,1,2,0,2,1,0,2,2
10,29.99,1,0,2,0,1,0,0,0,0
10,166.97,1,0,2,0,2,0,0,0,0
1,74.77,1,0,2,0,2,-1,0,2,2
8,115.67,1,0,1,1,2,1,0,2,2
1,199.76,0,1,1,0,2,1,0,2,2
11,199.06,0,1,2,0,1,1,0,2,2
2,118.4,1,0,1,0,1,-1,1,3,3
4,519.24,1,0,3,1,3,1,0,2,2
10,425.2,1,0,1,0,3,0,0,0,0
1,29.99,0,1,2,0,1,-1,1,3,3
2,505.17,1,0,1,1,1,-1,0,2,2
7,443.58,1,0,1,1,3,1,0,2,2
12,92.85,1,0,2,1,2,-1,0,2,2
10,280.53,0,1,2,1,2,-1,0,2,2
1,274.31,1,0,1,1,3,1,0,2,2
5,250.63,1,0,1,0,1,1,0,2,2
3,37.31,1,0,1,1,2,1,0,2,2
1,29.99,0,1,3,1,2,1,0,2,2
3,394.92,0,1,3,0,2,1,0,2,2
3,790.75,0,1,3,1,1,-1,1,3,3
4,47.62,1,0,1,1,1,-1,0,2,2
11,133.32,1,0,3,0,1,0,0,0,0
9,145.14,0,1,1,0,1,0,0,0,0
12,166.75,1,0,1,0,2,1,0,2,2
9,872.6,1,1,1,1,3,0,0,0,0
9,127.42,0,1,2,1,1,1,0,2,2
9,350.46,0,1,1,0,2,0,0,0,0
1,733.39,1,1,2,1,3,0,0,0,0
10,295.64,0,1,2,1,2,0,0,0,0
4,553.91,0,1,3,1,2,-1,1,3,3
10,353.56,1,0,2,1,1,-1,0,2,2
10,81.64,0,1,2,0,2,-1,0,2,2
11,29.99,0,1,1,1,1,1,0,2,2
8,144.84,0,1,1,0,1,0,1,1,1
1,459.3,1,0,1,0,3,1,0,2,2
7,220.25,0,1,2,0,1,1,0,2,2
11,304.85,1,1,2,0,2,1,0,2,2
9,29.99,0,1,1,1,2,-1,0,2,2
7,32.83,1,0,2,0,2,1,0,2,2
7,179.24,0,1,2,0,1,-1,0,2,2
11,29.99,0,1,2,1,1,1,0,2,2
11,84.81,1,0,1,1,1,0,0,0,0
12,119.73,0,1,1,0,2,-1,0,2,2
3,548.66,0,1,2,1,2,-1,0,2,2
4,861.4,1,0,1,1,2,-1,0,2,2
12,273.83,0,1,3,1,3,1,0,2,2
10,31.36,0,1,1,0,1,0,0,0,0
6,231.91,0,1,2,0,1,-1,0,2,2
9,90.2,0,1,1,1,1,-1,0,2,2
9,107.28,1,0,2,0,1,1,1,3,3
10,32.11,0,1,2,1,2,-1,0,2,2
10,29.99,0,1,1,0,2,0,0,0,0
11,106.38,0,1,2,1,2,0,0,0,0
5,29.99,0,1,1,1,1,0,0,0,0
5,88.52,1,0,2,0,2,1,0,2,2
2,286.24,1,0,3,0,3,1,0,2,2
4,29.99,0,1,2,0,2,0,0,0,0
10,115.18,0,1,1,1,2,1,0,2,2
7,140.88,1,0,1,0,1,1,0,2,2
1,147.46,0,1,1,0,2,0,0,0,0
4,688.81,1,1,2,1,2,1,0,2,2
11,270.65,1,0,1,0,1,-1,0,2,2
1,29.99,1,0,1,1,1,-1,0,2,2
9,34.7,1,0,1,1,1,-1,1,3,3
5,31.74,1,0,1,0,1,1,0,2,2
6,226.22,1,0,3,0,2,-1,0,2,2
1,70.21,0,1,1,0,2,0,0,0,0
9,363.29,0,1,3,0,1,1,1,3,3
3,62.36,0,1,1,1,1,0,0,0,0
2,669.6,0,1,2,1,3,-1,0,2,2
5,556.53,0,1,1,1,2,-1,0,2,2
4,29.99,1,0,1,0,1,1,0,2,2
9,122.59,1,0,1,0,2,1,0,2,2
4,100.4,1,0,1,0,2,1,1,3,3
2,142.79,1,0,3,1,1,-1,1,3,3
7,299.56,1,0,1,0,1,1,0,2,2
4,183.82,1,0,1,0,2,-1,0,2,2
8,144.18,0,1,2,0,2,0,0,0,0
8,1014.81,0,1,1,1,2,-1,0,2,2
2,65.72,1,0,1,0,2,-1,0,2,2
10,55.37,1,0,1,0,2,1,0,2,2
4,640.46,0,1,1,1,1,1,0,2,2
9,501.7,1,0,2,1,1,-1,0,2,2
9,625.06,0,1,1,1,1,0,0,0,0
1,144.01,0,1,1,0,2,-1,0,2,2
2,465.86,0,1,2,1,1,1,0,2,2
7,390.14,0,1,2,1,2,-1,0,2,2
7,325.75,1,0,2,0,1,-1,0,2,2
9,152.62,1,0,1,1,2,-1,0,2,2
2,29.99,1,0,2,0,1,-1,0,2,2
5,204.65,0,1,2,0,2,0,0,0,0
3,242.03,0,1,1,0,1,-1,0,2,2
3,293.93,0,1,1,0,3,-1,0,2,2
7,174.59,1,0,1,1,2,1,0,2,2
11,303.91,1,0,1,1,2,0,0,0,0
9,965.83,0,1,2,1,2,1,0,2,2
5,154.17,0,1,2,1,2,0,0,0,0
9,135.29,0,1,1,1,1,-1,0,2,2
10,132.58,1,0,3,0,1,-1,0,2,2
8,492.15,0,1,2,0,1,1,1,3,3
9,258.26,1,0,2,0,3,0,0,0,0
1,156.16,0,1,2,0,1,1,1,3,3
12,96.36,0,1,2,0,1,1,1,3,3
2,463.93,1,0,2,0,3,-1,0,2,2
8,279.03,0,1,2,1,2,0,0,0,0
6,29.99,0,1,2,1,1,0,0,0,0
2,51.27,0,1,2,1,2,-1,0,2,2
4,104.13,1,0,1,0,2,1,0,2,2
9,97.83,1,0,3,1,2,0,1,1,1
3,66.3,0,1,3,1,2,-1,0,2,2
7,29.99,0,1,1,1,1,-1,0,2,2
6,613.96,1,0,1,1,3,1,1,3,3
9,549.89,1,0,1,1,2,1,0,2,2
10,53.76,0,1,1,1,1,-1,0,2,2
1,245.07,1,0,2,1,1,0,0,0,0
5,296.97,0,1,2,0,2,-1,1,3,3
4,96.63,0,1,1,0,1,1,0,2,2
1,29.99,0,1,3,1,2,-1,0,2,2
2,249.96,1,1,2,0,3,1,0,2,2
7,167.05,1,0,2,0,2,-1,0,2,2
10,29.99,0,1,1,0,1,1,0,2,2
11,129.29,1,0,1,0,2,1,0,2,2
1,76.52,0,1,1,1,2,1,0,2,2
8,96.12,1,0,1,1,1,1,0,2,2
1,161.37,0,1,1,0,1,0,0,0,0
3,244.93,1,0,3,0,2,1,0,2,2
2,140.94,0,1,2,1,2,-1,1,3,3
9,29.99,1,0,1,0,1,1,0,2,2
4,29.99,0,1,2,0,2,0,0,0,0
10,123.75,0,1,1,1,1,1,0,2,2
6,97.77,1,0,2,0,2,1,0,2,2
9,702.49,1,1,3,1,1,0,0,0,0
3,193.46,1,0,2,1,2,0,0,0,0
10,29.99,1,0,2,0,2,0,0,0,0
9,29.99,1,0,2,1,1,0,0,0,0
1,1060.3,1,1,3,1,2,1,1,3,3
5,586.24,0,1,2,1,2,0,0,0,0
10,95.38,0,1,2,0,2,1,0,2,2
9,326.22,1,0,2,0,1,0,0,0,0
1,30.08,1,0,1,0,1,1,0,2,2
2,382.97,0,1,3,1,2,0,0,0,0
5,50.46,1,0,1,0,1,-1,0,2,2
12,179.01,0,1,2,1,2,-1,0,2,2
2,303.53,0,1,2,0,2,-1,0,2,2
9,268.71,0,1,1,0,3,1,1,3,3
4,93.88,0,1,2,1,1,0,0,0,0
4,50.43,0,1,3,1,1,1,0,2,2
9,116.02,0,1,2,0,2,0,0,0,0
8,174.39,1,0,2,0,1,-1,0,2,2
11,150.6,1,0,2,1,2,0,0,0,0
8,32.87,1,0,1,1,2,1,0,2,2
1,66.28,1,0,2,0,2,1,0,2,2
8,209.43,0,1,1,0,1,1,0,2,2
4,69.35,0,1,1,0,1,0,0,0,0
3,327.32,1,1,3,0,2,1,1,3,3
12,195.67,0,1,1,0,1,0,0,0,0
3,37.88,0,1,2,1,2,0,0,0,0
2,90.83,1,0,1,1,2,1,0,2,2
1,106.27,0,1,1,0,1,1,0,2,2
1,499.95,0,1,2,0,3,-1,0,2,2
9,152.96,1,0,2,0,1,0,0,0,0
10,225.77,1,0,2,0,2,1,0,2,2
4,29.99,1,0,1,1,1,0,0,0,0
10,502.61,1,0,1,1,1,0,0,0,0
5,199.22,1,0,2,0,2,0,0,0,0
11,239.61,0,1,2,0,1,1,0,2,2
5,138.39,0,1,2,0,2,1,0,2,2
3,70.95,0,1,3,0,1,1,0,2,2
1,363.55,1,1,2,1,3,0,0,0,0
6,65.97,1,0,1,0,1,-1,0,2,2
5,77.45,0,1,1,1,1,0,0,0,0
10,198.71,0,1,1,1,1,-1,0,2,2
1,67.99,1,0,2,0,2,1,0,2,2
2,196.53,1,0,3,1,1,0,1,1,1
11,43.47,0,1,2,1,1,0,0,0,0
12,59.17,1,0,1,0,2,0,0,0,0
1,50.43,0,1,2,0,2,1,0,2,2
1,368.94,1,0,2,0,2,-1,0,2,2
3,29.99,0,1,2,0,2,1,0,2,2
3,165.54,0,1,1,1,2,1,0,2,2
5,193.36,1,0,2,1,2,0,0,0,0
10,157.16,0,1,1,0,1,0,0,0,0
5,59.93,1,0,1,1,2,-1,0,2,2
9,510.54,0,1,1,1,1,-1,0,2,2
1,51.22,0,1,2,0,1,0,0,0,0
1,32.46,0,1,3,0,2,1,0,2,2
6,29.99,1,0,1,0,1,0,1,1,1
8,109.36,0,1,3,1,1,-1,0,2,2
3,359.81,1,0,2,0,3,1,0,2,2
2,29.99,0,1,1,0,2,1,0,2,2
11,164.73,0,1,2,0,1,1,0,2,2
1,2080.11,1,1,1,1,3,0,0,0,0
10,128.6,0,1,1,0,2,0,0,0,0
5,29.99,0,1,1,1,1,0,0,0,0
4,218.72,0,1,2,0,3,1,0,2,2
9,46.62,0,1,3,1,1,-1,0,2,2
4,159.05,0,1,2,1,2,-1,1,3,3
12,126.76,1,0,2,0,1,1,0,2,2
6,99.42,0,1,1,0,1,-1,1,3,3
1,253.35,0,1,1,1,2,1,0,2,2
9,141.98,0,1,2,0,1,1,1,3,3
3,29.99,0,1,2,0,1,0,1,1,1
