,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,customer_types,treat
202,1,150.93,1,0,1,0,1,0,0,0,0
203,11,223.39,1,0,3,1,2,1,0,2,1
204,1,506.51,1,0,2,1,3,0,0,0,0
205,8,575.62,1,1,2,1,3,-1,0,2,1
206,3,29.99,0,1,1,0,1,1,1,3,1
207,2,145.76,0,1,1,1,1,0,1,1,0
208,1,29.99,1,0,3,1,2,1,0,2,1
209,8,428.0,1,0,1,1,3,0,0,0,0
210,6,604.39,1,1,2,1,2,0,0,0,0
211,8,171.88,1,0,1,0,2,0,0,0,0
212,4,370.86,0,1,1,0,3,1,0,2,1
213,8,138.62,0,1,2,1,1,1,0,2,1
214,7,29.99,1,0,1,1,1,-1,0,2,1
215,1,209.98,1,0,1,0,1,0,1,1,0
216,3,166.0,0,1,2,0,1,0,0,0,0
217,10,88.37,0,1,2,0,2,1,1,3,1
218,8,336.76,0,1,1,0,2,-1,0,2,1
219,1,60.71,0,1,3,1,2,1,0,2,1
220,4,356.73,0,1,1,0,1,0,0,0,0
221,4,52.12,1,0,2,0,2,-1,0,2,1
222,7,406.7,0,1,1,1,2,-1,0,2,1
223,6,277.81,1,0,1,1,3,0,0,0,0
224,1,181.98,0,1,2,1,1,-1,0,2,1
225,2,112.13,1,0,2,1,1,1,0,2,1
226,5,29.99,0,1,3,1,1,0,0,0,0
227,5,439.26,1,0,1,0,3,1,0,2,1
228,8,64.16,0,1,1,0,1,1,0,2,1
229,5,29.99,0,1,1,0,1,0,1,1,0
230,6,29.99,0,1,2,1,1,-1,0,2,1
231,2,591.95,0,1,2,1,3,1,0,2,1
232,8,130.31,1,0,1,1,2,0,0,0,0
233,3,65.26,1,0,2,0,1,-1,1,3,1
234,10,132.46,1,0,2,0,2,1,0,2,1
235,4,225.89,1,1,3,1,1,1,0,2,1
236,2,115.56,0,1,1,1,1,0,0,0,0
237,8,104.94,0,1,2,0,2,0,0,0,0
238,7,69.44,1,0,3,0,1,-1,1,3,1
239,10,47.47,0,1,1,0,2,1,0,2,1
240,1,215.08,0,1,1,0,1,1,1,3,1
241,2,224.89,1,1,2,0,3,0,0,0,0
242,9,201.75,1,1,1,0,2,1,0,2,1
243,5,354.03,1,0,2,0,1,-1,0,2,1
244,10,151.43,1,0,2,0,1,0,0,0,0
245,11,120.14,1,0,2,0,1,-1,0,2,1
246,5,159.41,0,1,1,1,2,1,1,3,1
247,5,290.86,1,0,2,1,1,0,0,0,0
248,4,87.2,0,1,1,1,2,1,1,3,1
249,11,81.06,1,0,2,0,1,-1,0,2,1
250,10,55.11,1,0,2,1,1,-1,0,2,1
251,1,513.83,0,1,1,1,3,-1,0,2,1
252,4,770.38,0,1,3,1,3,0,0,0,0
253,1,33.5,1,0,1,0,1,-1,0,2,1
254,2,56.25,1,0,1,1,2,-1,0,2,1
255,2,1093.92,1,1,1,1,1,0,0,0,0
256,1,752.8,1,1,2,1,2,0,0,0,0
257,2,199.95,1,0,1,1,2,0,0,0,0
258,9,239.91,0,1,3,0,2,0,0,0,0
259,8,43.16,0,1,2,1,2,0,0,0,0
260,2,418.81,0,1,1,0,3,0,0,0,0
261,9,318.52,0,1,2,0,1,1,0,2,1
262,1,109.26,0,1,1,1,1,1,1,3,1
263,3,67.4,1,0,1,0,1,-1,0,2,1
264,9,135.02,1,0,1,1,1,1,0,2,1
265,10,54.25,0,1,1,0,1,-1,0,2,1
266,3,55.34,1,0,1,1,2,1,0,2,1
267,4,297.8,1,1,2,0,2,1,1,3,1
268,4,146.49,0,1,1,0,2,1,0,2,1
269,7,329.26,0,1,2,0,1,-1,0,2,1
270,1,29.99,1,0,3,1,2,-1,0,2,1
271,4,249.61,0,1,2,1,2,1,0,2,1
272,5,39.52,1,0,1,1,2,-1,0,2,1
273,1,307.58,1,0,1,0,3,0,0,0,0
274,6,92.32,0,1,2,0,2,-1,0,2,1
275,6,464.17,0,1,1,0,3,1,0,2,1
276,6,29.99,1,0,1,1,1,1,0,2,1
277,2,435.33,0,1,1,0,1,1,0,2,1
278,10,375.9,0,1,2,0,1,-1,0,2,1
279,9,29.99,1,0,2,0,1,-1,0,2,1
280,9,220.51,1,0,2,0,3,-1,0,2,1
281,5,180.28,0,1,1,0,2,1,0,2,1
282,6,78.69,0,1,1,0,2,-1,0,2,1
283,2,350.48,1,0,2,1,1,1,0,2,1
284,3,376.14,1,0,1,0,2,0,0,0,0
285,1,179.63,1,0,1,0,2,-1,1,3,1
286,6,164.51,1,0,1,0,2,1,1,3,1
287,8,59.76,0,1,2,1,1,-1,0,2,1
288,11,29.99,0,1,1,0,1,1,0,2,1
289,2,407.64,0,1,2,1,1,1,0,2,1
290,1,143.0,0,1,2,0,2,1,0,2,1
291,4,320.17,0,1,2,1,2,-1,0,2,1
292,1,103.07,1,0,1,0,1,-1,0,2,1
293,10,35.84,1,0,2,1,2,0,0,0,0
294,3,190.66,0,1,1,1,1,1,0,2,1
295,2,90.91,1,0,1,0,1,-1,0,2,1
296,5,215.03,0,1,2,1,1,0,0,0,0
297,1,856.4,0,1,2,1,1,0,0,0,0
298,10,139.83,1,0,2,1,2,-1,0,2,1
299,10,245.09,1,0,2,0,3,0,0,0,0
300,6,127.2,0,1,1,0,2,0,0,0,0
301,1,470.65,1,0,2,0,2,-1,0,2,1
302,1,59.13,1,0,2,1,1,-1,0,2,1
303,3,327.1,1,0,1,1,1,0,0,0,0
304,1,399.72,1,1,1,0,2,-1,1,3,1
305,3,29.99,1,0,2,0,2,0,0,0,0
306,6,398.03,1,1,1,0,2,0,0,0,0
307,4,134.24,0,1,2,0,1,-1,1,3,1
308,10,290.55,0,1,1,0,1,-1,0,2,1
309,7,29.99,1,0,1,0,1,0,0,0,0
310,4,87.69,1,0,1,0,1,-1,0,2,1
311,10,335.77,0,1,3,0,3,1,0,2,1
312,12,465.37,0,1,3,1,3,0,0,0,0
313,12,75.26,1,0,2,1,2,1,0,2,1
314,10,327.18,0,1,2,0,2,1,0,2,1
315,1,188.89,0,1,1,1,1,0,0,0,0
316,4,49.8,1,0,2,1,1,-1,0,2,1
317,7,688.51,1,1,3,1,3,1,0,2,1
318,3,229.42,0,1,3,0,3,0,0,0,0
319,1,253.18,0,1,1,0,3,-1,0,2,1
320,2,156.4,0,1,1,0,1,-1,0,2,1
321,2,196.93,0,1,3,1,1,1,0,2,1
322,4,557.47,1,0,2,1,1,0,0,0,0
323,12,177.66,1,0,1,0,2,1,1,3,1
324,9,29.99,0,1,1,0,2,1,0,2,1
325,11,140.07,0,1,2,1,1,-1,0,2,1
326,10,168.04,1,0,2,0,1,0,0,0,0
327,5,173.65,1,0,2,0,1,1,0,2,1
328,4,164.7,1,0,1,0,2,0,0,0,0
329,2,57.53,1,0,2,1,2,0,0,0,0
330,10,29.99,1,0,2,0,1,1,0,2,1
331,3,188.19,1,0,2,0,2,-1,1,3,1
332,10,29.99,0,1,1,0,1,0,1,1,0
333,1,35.23,1,0,2,1,2,-1,0,2,1
334,4,63.22,1,0,1,0,1,1,0,2,1
335,4,550.59,1,0,1,1,1,0,0,0,0
336,6,232.94,1,0,1,1,3,-1,0,2,1
337,11,91.23,1,0,2,0,1,1,0,2,1
338,2,571.53,1,0,3,1,3,1,0,2,1
339,1,169.31,0,1,3,1,1,1,0,2,1
340,10,205.88,1,0,2,0,2,0,0,0,0
341,1,1281.48,1,0,2,1,2,-1,0,2,1
342,3,29.99,1,0,2,0,1,0,1,1,0
343,3,542.16,1,0,2,1,2,-1,1,3,1
344,7,424.6,0,1,1,1,2,1,0,2,1
345,6,507.25,0,1,2,1,2,-1,0,2,1
346,10,29.99,1,0,3,0,1,-1,0,2,1
347,2,373.14,0,1,2,0,3,1,1,3,1
348,7,60.02,1,0,1,1,2,-1,0,2,1
349,1,68.5,0,1,2,0,2,0,0,0,0
350,11,37.45,0,1,2,0,2,0,0,0,0
351,2,38.34,1,0,2,0,1,1,0,2,1
352,5,545.73,1,0,1,1,3,1,0,2,1
353,4,70.39,0,1,1,1,1,0,0,0,0
354,6,98.8,0,1,3,1,2,-1,1,3,1
355,9,29.99,1,0,2,0,1,1,0,2,1
356,5,556.5,0,1,3,1,1,-1,0,2,1
357,4,29.99,1,0,2,0,2,1,0,2,1
358,6,136.26,0,1,3,1,1,0,0,0,0
359,2,936.63,1,0,2,1,2,1,0,2,1
360,9,172.14,0,1,2,0,2,-1,0,2,1
361,2,203.52,1,1,2,1,3,0,1,1,0
362,1,422.81,0,1,2,0,2,1,1,3,1
363,10,320.11,0,1,3,0,1,0,0,0,0
364,12,29.99,0,1,1,0,2,1,0,2,1
365,8,267.25,0,1,1,0,2,-1,0,2,1
366,11,164.9,0,1,1,0,2,1,0,2,1
367,11,265.39,0,1,1,0,3,1,0,2,1
368,9,744.22,1,0,3,1,1,0,0,0,0
369,3,99.25,1,0,1,1,2,0,0,0,0
370,5,62.49,1,0,3,0,1,0,0,0,0
371,4,72.66,0,1,1,1,2,-1,0,2,1
372,10,333.65,0,1,1,0,1,0,0,0,0
373,7,340.18,0,1,2,0,2,0,0,0,0
374,4,300.58,0,1,1,1,1,1,0,2,1
375,10,62.63,0,1,1,1,2,-1,0,2,1
376,10,357.28,0,1,1,0,1,1,0,2,1
377,5,283.55,1,0,2,1,2,0,0,0,0
378,9,48.93,1,0,3,1,2,1,0,2,1
379,9,54.34,1,0,1,0,2,-1,1,3,1
380,5,247.82,1,0,2,0,2,-1,0,2,1
381,11,178.56,1,0,2,0,2,-1,0,2,1
382,2,86.38,1,0,2,1,1,-1,0,2,1
383,7,233.4,1,1,2,0,3,0,0,0,0
384,2,189.67,1,0,3,1,1,1,0,2,1
385,1,1524.15,1,0,3,1,1,0,0,0,0
386,5,544.43,0,1,2,1,1,1,0,2,1
387,8,60.69,1,0,2,1,2,1,0,2,1
388,10,57.71,0,1,1,0,1,-1,0,2,1
389,4,410.86,0,1,2,0,1,0,0,0,0
390,6,40.24,1,0,1,1,2,-1,0,2,1
391,9,535.17,0,1,1,1,1,-1,0,2,1
392,3,584.63,1,1,1,1,1,0,0,0,0
393,1,29.99,1,0,2,1,2,-1,0,2,1
394,3,1570.59,1,1,2,1,1,1,0,2,1
395,5,119.47,1,0,1,0,2,0,0,0,0
396,7,68.86,0,1,1,0,2,0,0,0,0
397,3,68.81,0,1,2,0,2,-1,0,2,1
398,9,165.62,0,1,2,0,1,0,0,0,0
399,1,686.08,1,1,2,1,1,0,0,0,0
400,3,263.07,0,1,1,0,1,1,0,2,1
401,5,568.26,0,1,1,1,3,1,0,2,1
402,7,145.89,0,1,2,0,2,0,0,0,0
403,2,190.4,0,1,3,1,1,1,1,3,1
404,5,964.59,0,1,1,1,2,0,0,0,0
405,10,158.55,0,1,1,0,2,1,0,2,1
406,7,578.35,0,1,1,1,1,-1,1,3,1
407,7,93.33,1,0,2,0,1,0,0,0,0
408,9,157.76,1,0,2,0,2,1,0,2,1
409,2,762.0,1,0,1,1,1,1,0,2,1
410,5,29.99,1,0,1,0,2,1,0,2,1
411,2,235.19,1,0,2,1,3,1,0,2,1
412,5,42.3,0,1,2,0,2,0,0,0,0
413,4,474.94,0,1,2,1,1,-1,0,2,1
414,7,291.88,1,0,2,0,3,0,0,0,0
415,3,80.51,1,0,1,1,1,1,0,2,1
416,2,224.69,1,1,2,0,1,1,0,2,1
417,6,32.17,1,0,2,1,2,-1,0,2,1
418,4,553.42,1,0,3,1,1,1,1,3,1
419,1,219.3,0,1,1,0,2,1,0,2,1
420,1,200.26,1,0,1,0,3,0,0,0,0
421,8,1137.96,0,1,1,1,2,-1,0,2,1
422,8,29.99,0,1,2,1,2,1,0,2,1
423,9,51.53,1,0,1,1,2,0,0,0,0
424,3,177.36,0,1,1,1,1,-1,0,2,1
425,9,34.75,1,0,2,1,1,0,0,0,0
426,8,402.84,1,0,1,0,2,0,0,0,0
427,1,276.21,1,0,1,0,2,0,0,0,0
428,1,960.02,1,1,3,1,1,0,1,1,0
429,1,100.92,0,1,2,1,1,0,0,0,0
430,7,770.87,1,1,2,1,2,1,0,2,1
431,7,63.95,1,0,2,1,2,1,0,2,1
432,7,348.44,0,1,1,1,1,-1,0,2,1
433,11,29.99,0,1,3,0,1,-1,0,2,1
434,3,216.08,0,1,2,0,2,0,0,0,0
435,3,211.88,1,1,1,0,1,1,0,2,1
436,9,129.46,1,0,2,1,2,-1,0,2,1
437,11,189.23,1,0,1,0,1,1,0,2,1
438,10,149.31,0,1,3,1,2,1,0,2,1
439,4,218.92,0,1,1,0,1,-1,1,3,1
440,3,109.34,0,1,1,0,2,-1,0,2,1
441,2,32.18,1,0,1,1,1,-1,0,2,1
442,7,287.73,1,1,2,0,1,0,1,1,0
443,4,29.99,0,1,2,1,2,0,0,0,0
444,12,98.17,0,1,1,1,1,0,0,0,0
445,3,297.33,0,1,2,0,2,1,0,2,1
446,5,728.99,1,0,2,1,1,-1,0,2,1
447,9,483.16,1,1,2,0,2,-1,1,3,1
448,4,93.36,1,0,1,1,2,0,0,0,0
449,2,542.34,0,1,2,1,2,0,0,0,0
450,9,44.68,1,0,2,0,2,0,0,0,0
451,6,265.61,0,1,1,1,3,1,1,3,1
452,4,184.47,1,0,3,0,2,1,0,2,1
453,8,69.67,1,0,3,1,1,1,0,2,1
454,2,188.03,1,0,2,1,2,0,0,0,0
455,1,1873.15,0,1,2,1,2,1,0,2,1
456,1,132.46,1,0,2,0,2,0,0,0,0
457,8,167.05,0,1,2,0,2,0,0,0,0
458,3,179.31,0,1,2,0,1,0,0,0,0
459,1,101.99,0,1,1,0,1,1,1,3,1
460,1,290.03,1,1,2,0,1,0,1,1,0
461,1,89.59,0,1,1,1,1,-1,0,2,1
462,4,29.99,0,1,1,1,1,1,0,2,1
463,2,851.45,1,1,3,1,1,0,1,1,0
464,1,248.43,1,0,1,1,2,0,0,0,0
465,3,141.2,0,1,1,1,2,0,0,0,0
466,9,69.9,1,0,1,1,1,1,0,2,1
467,7,29.99,1,0,2,0,1,0,0,0,0
468,6,113.6,1,0,1,1,2,0,0,0,0
469,10,29.99,0,1,2,0,1,1,0,2,1
470,9,302.52,1,0,2,0,2,-1,0,2,1
471,3,73.99,0,1,1,0,2,0,0,0,0
472,1,79.5,0,1,1,0,1,0,0,0,0
473,12,103.6,1,0,3,0,2,0,0,0,0
474,1,137.29,0,1,2,0,2,0,0,0,0
475,8,34.8,0,1,1,1,2,1,0,2,1
476,6,114.74,1,0,2,0,1,0,1,1,0
477,8,244.94,1,0,1,0,2,1,0,2,1
478,1,452.72,0,1,3,0,1,1,0,2,1
479,5,29.99,0,1,2,0,1,-1,0,2,1
480,1,386.11,1,1,2,0,3,-1,0,2,1
481,8,45.78,1,0,1,0,2,0,0,0,0
482,6,358.77,0,1,1,0,1,0,0,0,0
483,5,141.74,1,0,1,0,1,0,0,0,0
484,9,205.33,1,0,1,1,3,-1,0,2,1
485,1,629.85,1,0,2,1,1,-1,1,3,1
486,9,64.09,1,0,1,0,2,1,0,2,1
487,4,162.56,0,1,2,1,2,1,0,2,1
488,9,383.77,0,1,1,1,2,-1,1,3,1
489,6,64.33,1,0,3,0,1,0,1,1,0
490,11,143.65,0,1,2,1,2,1,0,2,1
491,12,63.28,1,0,2,1,2,-1,0,2,1
492,6,108.83,1,0,2,0,2,-1,0,2,1
493,4,121.87,1,0,3,0,1,0,0,0,0
494,10,489.29,0,1,1,0,2,-1,0,2,1
495,2,199.97,0,1,1,0,2,-1,0,2,1
496,4,614.83,1,0,2,1,3,0,0,0,0
497,5,103.44,0,1,3,1,1,1,1,3,1
498,9,199.38,0,1,2,1,2,-1,0,2,1
499,4,224.04,1,0,2,0,1,0,0,0,0
500,3,80.65,0,1,1,1,1,1,1,3,1
501,3,66.47,1,0,3,1,1,-1,0,2,1
502,9,33.63,0,1,3,0,2,0,0,0,0
503,6,528.03,1,1,2,1,3,1,0,2,1
504,10,29.99,1,0,1,0,1,1,0,2,1
505,2,109.81,1,0,2,1,1,0,1,1,0
506,10,507.15,0,1,3,1,1,1,0,2,1
507,10,161.43,0,1,1,1,1,0,1,1,0
508,12,90.15,1,0,1,0,1,-1,0,2,1
509,1,567.13,0,1,3,1,2,1,0,2,1
510,1,681.12,1,0,3,1,2,-1,0,2,1
511,9,198.54,0,1,2,0,2,0,0,0,0
512,11,301.0,1,1,1,1,1,0,0,0,0
513,2,378.5,0,1,2,0,1,-1,1,3,1
514,10,131.95,0,1,1,0,2,0,1,1,0
515,6,179.51,0,1,2,0,2,1,0,2,1
516,10,375.34,1,0,3,0,1,0,0,0,0
517,8,29.99,1,0,1,0,2,1,0,2,1
518,1,286.31,1,1,1,0,1,0,0,0,0
519,7,600.13,1,1,2,1,2,0,0,0,0
520,6,107.42,0,1,2,1,1,0,0,0,0
521,1,1515.82,1,1,1,1,3,1,1,3,1
522,2,102.99,0,1,1,0,2,0,0,0,0
523,10,317.16,1,0,2,0,1,1,0,2,1
524,7,297.6,1,0,1,0,1,0,0,0,0
525,10,599.06,0,1,2,1,1,1,0,2,1
526,10,29.99,1,0,2,0,1,1,0,2,1
527,1,783.8,1,1,1,1,1,0,0,0,0
