channel,history,is_referral,recency,used_bogo,used_discount,zip_code,treat
2,189.99,0,4,0,1,1,0
1,41.68,1,10,0,1,2,0
1,133.51,0,3,0,1,2,0
3,221.76,0,12,0,1,1,0
1,82.03,0,12,0,1,1,0
3,244.28,0,2,0,1,1,0
1,61.72,1,6,0,1,1,0
1,54.43,1,2,0,1,1,0
2,202.05,1,1,1,1,2,0
2,284.41,1,3,1,0,2,1
2,214.42,0,11,1,0,1,0
2,337.34,0,10,1,0,3,0
2,130.74,1,5,1,0,1,0
1,29.99,1,9,1,0,1,0
2,714.52,1,9,1,0,2,0
2,735.54,1,9,1,1,2,0
2,287.06,0,8,1,0,2,1
2,717.6,1,3,1,0,2,1
1,238.5,1,9,0,1,3,0
2,29.99,0,3,0,1,3,0
1,29.99,1,7,1,0,1,0
1,29.99,1,6,1,0,2,0
1,86.46,1,6,1,0,2,0
3,265.53,0,9,1,0,1,0
2,88.21,1,11,0,1,1,0
2,112.91,1,1,0,1,2,0
2,129.57,1,9,0,1,3,0
1,395.8,0,2,0,1,2,1
2,322.36,0,2,1,0,1,0
2,29.99,1,9,1,0,2,0
2,29.99,0,9,0,1,1,0
2,29.99,0,11,1,0,2,1
3,796.61,1,2,0,1,3,0
2,162.33,1,4,1,0,1,0
1,30.78,1,3,1,0,2,0
1,143.67,0,1,1,0,2,0
2,170.12,1,6,0,1,2,0
1,317.9,0,4,1,1,3,0
3,759.36,1,3,1,0,1,0
2,326.65,0,2,0,1,2,0
1,237.45,0,9,0,1,2,0
2,680.77,1,3,1,1,3,0
1,46.06,0,3,0,1,2,0
1,91.28,1,7,1,0,2,0
2,29.99,0,1,0,1,1,1
1,29.99,0,2,1,0,2,0
3,859.8,1,4,1,1,1,0
1,303.5,0,10,0,1,2,0
2,79.76,1,8,0,1,3,0
2,102.42,1,9,0,1,1,0
1,327.7,0,9,1,1,1,0
2,244.94,0,8,0,1,1,0
2,29.99,1,7,0,1,1,0
1,29.99,0,4,1,0,2,1
1,95.87,0,10,0,1,1,0
3,1076.2,1,4,1,0,3,0
3,501.23,1,2,1,0,2,0
1,341.4,0,3,0,1,1,0
2,982.36,1,2,1,0,1,0
3,533.02,1,2,0,1,2,0
2,29.99,0,10,0,1,1,0
2,221.32,0,12,1,1,1,0
1,354.69,0,10,1,0,3,0
2,65.72,0,2,0,1,1,0
1,165.0,0,2,0,1,2,0
2,29.99,0,3,0,1,3,0
1,231.09,1,4,0,1,2,0
3,2081.2,1,2,1,0,1,0
2,29.99,1,10,1,0,2,0
3,329.31,1,11,0,1,3,0
2,29.99,1,8,0,1,1,0
1,125.85,0,7,1,0,3,0
1,42.39,0,1,1,0,2,0
2,228.59,1,7,0,1,2,0
1,126.41,1,6,0,1,1,0
1,578.85,1,10,0,1,2,0
2,58.84,0,2,0,1,1,0
1,140.65,1,2,1,0,2,0
1,1345.74,1,3,1,0,2,0
2,29.99,0,8,1,0,3,0
1,41.52,0,5,1,0,2,0
1,207.88,0,6,0,1,2,0
1,451.53,1,1,1,1,3,1
2,37.71,0,12,1,0,3,1
1,197.69,1,5,0,1,1,0
2,41.89,1,10,0,1,1,0
3,406.27,0,9,1,1,1,0
3,403.32,0,2,1,0,1,0
1,29.99,1,9,1,0,2,1
1,109.59,1,6,1,0,3,0
1,45.26,1,8,0,1,2,0
1,166.92,1,4,1,0,3,0
1,244.7,0,9,1,1,2,0
1,113.31,0,2,0,1,3,0
1,221.24,0,7,1,0,1,1
2,46.44,1,9,1,0,2,0
1,169.07,0,3,0,1,2,0
3,408.99,0,4,0,1,2,0
2,178.11,0,10,1,0,2,0
2,57.1,0,11,0,1,1,0
2,29.99,0,4,0,1,3,0
3,434.87,0,8,0,1,1,0
2,31.72,0,12,1,0,2,0
1,108.64,1,3,1,0,2,0
1,654.97,1,1,1,1,2,0
1,1122.7,1,1,1,1,2,0
1,391.07,1,10,1,0,2,0
1,98.03,1,7,1,0,1,0
3,511.17,1,1,0,1,2,0
2,84.85,0,7,1,0,2,0
2,29.99,0,6,1,0,2,0
1,29.99,1,9,1,0,1,0
1,111.75,0,1,1,0,2,0
2,239.31,0,2,0,1,1,0
1,107.57,1,8,0,1,2,0
1,851.56,1,3,1,0,3,0
1,154.38,0,1,1,0,3,0
1,44.74,1,10,1,0,1,0
1,29.99,0,2,0,1,2,0
1,118.29,1,5,1,0,1,0
3,400.87,0,11,1,0,2,0
1,264.75,0,2,1,0,1,0
1,207.63,1,8,1,0,1,0
3,412.58,0,2,1,1,3,1
2,88.0,1,6,0,1,2,0
2,243.53,0,1,1,0,1,0
1,209.65,1,4,1,1,3,0
1,230.49,1,6,1,0,1,0
3,210.68,0,9,1,0,1,0
2,169.88,1,1,1,0,2,0
2,261.27,0,4,0,1,1,0
1,582.52,1,9,0,1,1,0
2,330.71,1,1,1,1,2,0
1,170.88,0,4,1,0,2,0
1,167.36,0,9,0,1,1,0
1,520.43,1,7,1,0,1,0
1,158.55,0,7,1,0,3,0
1,637.56,1,4,1,0,1,0
2,121.93,1,12,0,1,1,0
1,530.16,1,2,1,0,3,0
2,388.9,0,6,0,1,1,0
2,970.98,1,4,0,1,3,0
2,354.59,0,6,1,1,2,0
2,255.36,0,10,0,1,2,1
3,219.45,0,4,0,1,2,0
3,806.91,1,1,1,1,1,1
1,347.37,0,10,0,1,2,0
1,149.51,0,2,0,1,2,0
2,333.22,0,11,0,1,2,0
1,29.99,0,8,1,0,2,0
1,29.99,1,8,1,0,1,0
1,61.27,0,6,1,0,2,0
1,92.39,1,7,1,0,1,0
2,146.96,1,5,1,0,3,1
1,114.19,0,1,0,1,2,1
2,29.99,0,3,0,1,1,0
1,153.29,0,4,1,0,3,0
2,356.51,1,9,1,0,1,0
2,59.9,0,5,0,1,2,0
2,92.46,0,10,1,0,2,0
1,230.17,0,9,1,1,2,0
1,87.09,0,5,1,0,1,1
2,35.45,1,4,1,0,2,0
1,225.2,1,2,1,0,1,0
2,139.06,1,7,1,0,1,0
3,1061.08,1,7,1,1,1,0
2,289.95,1,4,1,1,2,1
2,229.89,0,6,1,0,2,0
3,217.22,1,1,1,1,2,0
1,29.99,1,10,0,1,2,0
3,237.26,0,9,1,0,1,0
2,29.99,1,5,1,0,3,0
1,223.27,1,2,1,0,1,0
2,76.61,0,9,0,1,3,0
2,39.62,1,1,0,1,1,0
2,38.25,0,4,1,0,1,0
1,66.32,0,2,0,1,1,0
3,613.96,1,6,0,1,1,1
1,29.99,1,9,1,0,2,1
1,29.99,1,1,0,1,3,0
2,29.99,1,8,1,0,2,0
3,826.64,1,5,1,0,3,0
1,87.5,1,5,0,1,2,0
1,30.27,0,8,1,0,1,0
2,281.69,1,4,1,0,2,0
2,523.6,1,11,1,0,1,0
2,73.17,1,9,0,1,1,0
1,55.36,0,12,0,1,2,0
2,139.82,1,6,0,1,2,1
1,55.58,1,10,1,0,1,0
1,171.26,1,4,1,0,1,0
2,95.29,1,2,0,1,2,0
2,86.95,0,2,1,0,1,0
1,115.22,1,10,1,0,2,0
1,123.25,0,11,0,1,1,0
1,143.4,0,2,1,0,2,0
3,532.76,1,6,1,0,3,0
1,104.04,0,10,0,1,2,0
1,79.69,0,2,1,0,3,0
2,88.95,0,3,0,1,1,0
1,242.71,1,11,1,0,1,0
3,977.37,1,2,1,0,1,0
1,87.62,1,9,1,0,1,0
1,251.56,0,8,0,1,2,0
2,647.34,1,3,0,1,2,0
1,347.77,0,3,0,1,2,0
2,261.68,0,9,0,1,3,0
2,66.16,1,1,0,1,1,0
1,29.99,0,9,1,0,1,0
2,103.07,1,2,1,0,2,0
1,70.7,0,6,1,0,2,0
2,29.99,1,10,0,1,2,0
2,29.99,0,9,1,0,2,1
3,253.53,0,7,0,1,2,0
1,77.11,1,10,0,1,1,0
2,334.12,0,12,1,0,1,0
1,186.49,1,6,0,1,1,0
1,29.99,0,6,0,1,1,0
2,42.12,1,10,0,1,2,0
1,84.17,0,9,0,1,1,0
3,268.71,0,9,1,0,1,1
2,300.29,0,10,0,1,2,0
1,71.35,1,8,1,0,3,0
1,31.23,0,1,0,1,1,0
1,54.94,1,8,1,0,2,0
2,675.07,1,9,1,1,3,0
3,250.72,1,6,1,0,1,0
1,87.87,1,12,1,0,1,0
1,354.87,0,1,0,1,2,0
2,224.77,1,6,0,1,1,0
1,59.34,1,10,0,1,1,0
1,29.99,1,1,1,0,2,0
2,133.49,1,9,0,1,3,0
3,700.99,1,1,1,0,1,0
2,99.05,1,3,0,1,2,0
2,218.91,1,2,0,1,1,0
3,401.04,1,8,1,0,1,0
2,151.59,0,5,0,1,2,0
2,75.44,0,6,1,0,1,0
1,29.99,1,4,0,1,1,0
1,65.67,0,10,1,0,1,0
1,85.7,0,5,0,1,2,0
1,29.99,1,5,1,0,2,1
1,1409.29,1,2,1,1,1,1
2,73.73,1,10,0,1,3,0
1,214.45,0,3,1,0,2,0
1,250.43,1,3,1,0,1,1
2,280.96,1,2,1,0,2,0
2,35.84,0,9,1,0,2,0
2,116.17,0,9,1,0,2,0
3,394.36,0,4,0,1,3,0
1,612.74,1,3,1,1,2,0
2,383.89,1,9,1,1,2,0
1,103.58,0,12,1,0,2,0
1,76.7,1,10,0,1,2,0
2,356.06,0,4,1,0,1,1
2,186.76,0,10,1,0,1,0
2,33.87,0,10,1,0,3,1
2,1106.6,1,1,1,1,1,0
2,226.01,0,12,0,1,1,0
1,129.86,1,3,1,0,1,0
1,442.81,0,7,1,0,1,0
2,131.15,0,11,0,1,1,0
1,159.71,0,4,0,1,1,1
2,73.37,1,9,1,0,2,0
2,29.99,1,8,1,0,2,1
2,364.08,0,6,1,0,1,0
2,29.99,0,8,0,1,1,0
1,181.57,1,11,1,0,2,0
1,29.99,1,6,1,0,2,0
2,60.41,1,2,0,1,1,0
1,306.79,0,9,0,1,1,1
1,141.98,0,9,1,0,2,1
1,1364.92,1,1,1,1,2,0
1,167.58,0,3,0,1,2,0
2,103.4,1,11,1,0,1,0
2,161.29,0,4,1,0,1,0
1,221.94,0,10,1,0,1,0
3,281.79,1,9,1,0,1,0
1,1306.75,1,7,1,0,1,0
1,515.57,1,4,0,1,1,0
2,38.75,1,3,0,1,1,0
1,377.33,1,7,1,0,1,1
1,29.99,0,9,0,1,1,0
3,476.14,0,7,0,1,3,0
1,106.27,1,11,0,1,2,0
2,29.99,1,8,0,1,1,0
1,200.04,0,7,0,1,1,0
3,267.29,0,2,1,1,2,0
1,232.59,1,2,1,0,3,0
2,123.48,1,4,0,1,2,0
2,29.99,0,12,1,0,1,0
3,381.16,0,6,0,1,2,0
2,176.79,1,6,1,0,2,0
2,200.34,0,8,0,1,1,0
1,62.95,0,8,0,1,3,0
3,223.31,0,11,0,1,1,0
1,114.13,0,1,1,0,1,0
1,239.0,1,1,0,1,1,1
2,56.16,0,1,0,1,2,0
3,315.97,0,9,1,0,1,0
1,271.13,1,9,0,1,1,0
1,1317.94,1,4,1,1,1,1
2,76.22,1,3,1,0,2,0
2,1014.81,1,8,1,0,1,0
1,44.44,0,8,0,1,2,1
1,130.84,0,4,1,0,2,0
1,117.04,1,1,1,0,2,0
2,174.11,0,9,0,1,1,1
1,530.35,1,12,0,1,1,0
2,60.08,1,1,0,1,1,0
1,342.34,0,9,1,0,3,0
1,123.32,0,2,0,1,1,0
2,29.99,0,9,0,1,1,0
2,160.72,0,6,1,0,1,0
2,445.59,0,9,0,1,1,0
2,52.81,0,1,0,1,1,0
2,29.99,1,11,1,0,2,0
2,67.98,1,6,1,0,1,0
3,707.62,1,9,1,0,1,0
2,29.99,0,10,0,1,2,0
1,412.74,0,6,1,0,1,0
2,340.63,0,5,1,0,1,0
2,67.84,1,9,0,1,1,0
2,660.98,1,3,1,1,2,0
1,38.02,1,6,0,1,1,0
1,105.12,1,6,0,1,1,0
2,82.53,1,9,1,0,1,0
2,297.33,0,3,1,0,2,0
1,79.2,1,10,0,1,1,0
1,29.99,0,10,0,1,2,0
1,43.22,1,12,1,0,2,0
2,61.26,1,10,1,0,2,0
1,630.53,1,1,1,1,3,0
1,29.99,1,2,0,1,3,0
2,53.31,0,2,0,1,1,0
1,641.41,1,9,0,1,1,0
2,122.72,1,3,0,1,1,0
2,120.7,1,10,1,0,1,0
2,882.77,1,3,1,1,1,1
1,64.06,1,11,1,0,1,0
1,79.57,0,4,0,1,2,0
2,29.99,0,2,1,0,3,0
2,180.05,0,8,1,0,1,0
1,144.47,0,2,1,0,3,0
1,179.42,0,2,0,1,1,0
2,185.6,1,7,1,0,1,0
1,566.59,1,3,0,1,3,0
2,29.99,0,6,0,1,1,0
2,90.16,0,6,0,1,1,0
1,157.91,0,3,0,1,2,0
3,201.84,0,9,0,1,2,0
1,63.43,0,7,1,0,1,1
1,510.3,1,10,0,1,2,0
1,178.46,0,9,1,0,1,0
1,30.19,1,9,1,0,1,0
2,271.31,0,1,1,0,2,0
1,29.99,1,10,1,0,2,0
2,296.27,1,4,1,1,1,1
2,40.12,0,10,0,1,2,0
2,29.99,0,5,1,0,1,0
1,103.01,0,6,0,1,1,0
1,88.65,0,12,0,1,1,0
2,29.99,1,10,1,0,2,0
1,218.76,0,10,1,1,1,0
1,334.07,0,9,1,0,2,0
2,47.1,0,10,0,1,3,0
3,230.04,1,10,1,1,3,0
3,327.8,1,10,0,1,2,0
2,148.69,0,1,0,1,3,1
3,642.89,1,1,1,0,2,1
1,706.81,1,12,1,1,1,1
2,86.42,0,1,1,0,2,0
3,435.02,0,2,0,1,1,0
2,126.09,1,1,1,0,1,0
1,200.95,1,8,0,1,2,0
2,246.19,0,9,1,0,1,0
3,525.97,1,6,1,0,1,0
2,38.53,1,10,0,1,2,1
1,45.81,0,11,0,1,2,0
1,390.45,0,11,1,0,1,0
2,173.07,1,4,0,1,1,0
3,264.45,0,1,1,0,1,1
1,1430.26,1,7,1,1,2,0
1,31.07,0,7,0,1,1,0
3,423.51,0,4,1,1,1,0
1,163.11,0,9,1,0,2,0
2,289.0,0,6,1,1,3,0
2,115.26,0,8,0,1,1,0
2,277.23,1,2,1,1,3,0
1,131.67,1,5,1,0,3,0
2,73.85,1,12,0,1,2,0
2,60.84,0,10,0,1,2,0
1,29.99,1,3,0,1,1,0
3,211.79,0,9,1,0,2,0
1,35.94,1,3,1,0,2,0
3,954.97,1,1,1,0,1,0
3,333.54,0,2,1,0,3,0
3,434.78,0,1,0,1,1,0
1,250.47,0,9,1,0,1,0
1,257.57,0,5,0,1,1,0
1,29.99,1,11,0,1,1,0
1,46.1,1,10,0,1,3,0
2,29.99,1,7,0,1,1,0
3,408.0,0,5,0,1,1,0
2,163.09,1,12,0,1,2,0
1,29.99,0,6,1,0,1,1
1,211.05,1,12,1,0,1,0
2,135.15,0,5,0,1,1,0
2,64.99,1,10,0,1,2,0
1,216.74,0,10,0,1,1,0
1,622.7,1,1,0,1,1,0
3,464.22,0,2,0,1,1,0
2,186.02,1,11,0,1,1,0
2,601.57,1,1,0,1,1,0
1,491.87,0,7,1,0,2,0
1,29.99,0,5,0,1,2,0
2,219.88,1,1,0,1,2,0
2,48.13,1,11,0,1,1,0
1,29.99,1,4,0,1,1,0
2,29.99,1,7,1,0,3,0
1,1137.4,1,2,1,1,1,0
2,165.97,0,9,0,1,2,0
2,36.96,1,1,0,1,1,0
2,82.33,0,3,1,0,2,0
1,90.75,0,12,0,1,1,0
3,363.97,0,2,1,0,1,0
1,240.41,0,2,0,1,2,0
1,304.13,1,12,1,0,1,0
3,435.8,0,1,0,1,1,0
2,137.58,1,10,1,0,3,0
2,134.05,0,7,0,1,1,0
1,29.99,0,6,0,1,1,0
2,54.64,1,2,1,0,1,0
2,192.27,0,9,1,0,1,0
1,235.14,0,1,0,1,1,0
1,29.99,1,8,1,0,2,0
1,29.99,0,10,1,0,2,0
1,166.67,1,11,0,1,2,0
2,42.07,1,3,0,1,3,0
1,121.63,0,7,1,0,2,0
2,94.67,0,10,0,1,2,0
3,370.07,0,10,1,0,2,0
1,84.37,0,5,1,0,1,0
1,99.82,1,2,0,1,1,0
3,209.68,0,10,1,1,2,0
1,119.17,0,5,0,1,1,0
2,112.33,1,9,0,1,3,0
3,267.22,0,5,1,0,2,0
2,450.36,1,3,1,0,1,0
1,359.59,0,9,1,0,1,0
2,29.99,0,3,0,1,3,0
1,865.17,1,2,0,1,2,0
1,186.1,0,4,1,0,2,0
3,446.87,1,1,1,1,2,0
1,40.12,0,11,0,1,3,1
1,249.0,0,2,0,1,1,0
1,67.4,0,10,0,1,2,0
2,92.57,1,1,1,0,1,0
2,202.69,0,5,1,0,2,0
1,475.99,1,8,0,1,3,0
1,29.99,1,6,1,0,1,0
2,436.66,0,2,1,0,3,0
2,52.44,0,3,0,1,1,0
1,85.33,0,1,1,0,2,0
3,604.74,1,10,1,1,1,0
3,373.31,0,5,0,1,2,0
1,113.96,1,3,0,1,2,0
3,487.17,0,1,0,1,1,0
2,29.99,0,11,0,1,1,0
1,29.99,0,3,1,0,1,0
2,29.99,0,5,0,1,1,0
2,118.53,1,2,1,0,1,0
2,128.0,1,1,0,1,1,0
2,29.99,1,10,1,0,1,0
1,29.99,0,4,0,1,2,1
2,53.97,1,7,0,1,3,0
1,360.5,1,1,1,1,1,0
3,1283.1,1,3,0,1,2,0
2,454.18,0,1,0,1,2,0
2,286.33,1,6,0,1,1,0
2,33.9,1,10,0,1,1,0
2,321.75,1,10,1,0,3,1
2,75.98,0,6,0,1,2,0
2,194.4,1,2,1,0,1,0
1,64.88,1,1,0,1,1,0
2,37.03,0,6,1,0,1,0
1,50.6,1,9,0,1,1,0
2,52.31,1,2,0,1,2,1
1,42.38,1,11,1,0,3,0
2,292.06,0,5,1,0,1,0
1,671.11,1,7,1,1,1,0
1,69.49,0,7,0,1,1,0
2,59.53,0,6,1,0,1,0
1,189.28,0,4,0,1,3,0
2,339.98,1,6,1,1,3,0
1,220.02,0,2,1,0,2,0
2,75.34,1,10,0,1,1,0
1,29.99,1,6,1,0,2,0
1,398.17,0,8,0,1,2,0
2,241.55,0,7,0,1,2,0
1,74.38,0,1,0,1,2,0
2,61.72,1,10,1,0,2,0
1,646.65,1,6,1,0,1,0
2,50.67,0,8,0,1,2,0
1,292.94,1,10,0,1,2,0
1,93.81,1,2,0,1,2,0
1,106.6,0,3,0,1,1,0
2,700.0,1,1,0,1,3,0
2,295.89,1,3,1,1,2,0
2,29.99,1,2,0,1,1,0
2,72.91,0,4,1,0,2,0
1,80.61,1,6,1,0,1,0
2,43.25,1,8,0,1,2,0
3,740.51,1,8,1,0,1,0
1,29.99,1,2,0,1,2,0
2,160.42,1,5,0,1,1,0
2,76.5,0,8,1,0,1,0
1,555.03,1,4,1,0,1,0
2,474.97,1,4,1,1,2,1
2,66.68,0,4,0,1,1,0
2,1139.98,1,1,1,1,2,1
2,88.61,1,11,1,0,2,0
2,76.4,0,11,1,0,2,0
1,75.44,0,12,0,1,2,1
1,262.43,1,6,1,1,1,0
1,35.43,1,1,0,1,1,0
1,152.34,0,1,1,0,1,0
1,262.07,0,4,1,0,3,0
2,389.67,0,12,1,0,2,0
3,1478.2,1,2,0,1,2,0
3,340.6,1,12,1,0,1,0
2,319.31,1,11,0,1,1,0
2,280.48,0,9,1,1,1,0
1,919.54,1,1,1,0,1,0
1,489.91,0,2,1,0,2,1
1,119.75,0,1,1,0,1,0
2,103.96,1,1,1,0,1,1
2,29.99,1,4,0,1,1,0
1,36.46,1,3,0,1,1,0
1,86.67,1,11,0,1,2,0
2,290.96,0,9,1,1,1,0
1,643.44,1,3,1,1,2,0
1,185.15,0,9,1,0,2,0
2,70.48,1,2,1,0,2,0
1,304.55,0,10,1,0,1,0
2,198.19,1,2,1,0,2,0
2,796.09,1,2,1,0,3,0
1,97.03,1,4,1,0,3,0
1,29.99,0,9,1,0,2,0
1,502.61,1,4,0,1,1,1
2,200.46,1,7,0,1,2,0
3,252.23,0,1,0,1,2,0
3,224.74,1,6,0,1,3,0
1,85.04,0,7,0,1,3,0
1,147.91,1,9,0,1,1,0
2,144.37,1,2,0,1,2,0
3,925.15,1,5,0,1,2,0
1,397.08,0,2,1,0,2,0
1,29.99,1,11,1,0,1,0
2,80.66,0,7,0,1,3,0
2,29.99,1,9,1,0,2,0
2,350.72,0,1,1,1,1,0
2,29.99,0,3,0,1,1,0
3,520.15,1,9,0,1,2,0
1,127.26,1,3,0,1,1,0
1,942.04,1,3,1,0,2,1
1,346.42,0,4,1,1,1,0
1,244.99,0,6,1,1,3,0
2,84.42,0,2,0,1,3,0
2,221.14,0,12,1,0,1,0
1,183.74,1,5,0,1,2,1
1,35.45,0,5,1,0,2,0
1,193.76,1,12,0,1,1,1
2,169.05,1,9,1,0,1,0
2,41.65,1,6,1,0,1,0
1,200.27,1,3,0,1,1,0
2,157.45,1,7,0,1,2,0
1,591.06,1,12,0,1,3,0
1,29.99,0,1,1,0,1,0
1,138.72,0,6,0,1,2,0
2,120.67,1,10,0,1,1,0
1,490.84,0,2,0,1,2,0
1,29.99,0,11,0,1,1,0
2,349.16,0,3,1,0,1,0
2,29.99,1,9,0,1,2,0
1,29.99,0,6,0,1,1,0
2,91.57,1,12,1,0,1,0
1,316.46,0,8,1,1,2,0
2,1495.95,1,1,0,1,1,0
1,116.85,0,3,0,1,3,0
2,473.0,1,12,1,0,2,0
3,476.15,0,1,1,0,2,0
1,29.99,0,9,1,0,1,0
1,76.95,1,10,1,0,1,0
2,142.67,0,4,1,0,1,0
3,611.62,1,5,1,0,1,0
2,89.69,0,10,0,1,2,0
1,29.99,1,2,0,1,1,0
1,179.51,0,9,0,1,2,0
1,30.29,0,2,1,0,2,0
1,29.99,0,3,1,0,2,0
2,29.99,0,7,1,0,2,0
1,57.57,0,9,1,0,1,0
2,665.05,1,3,1,1,1,0
3,625.45,1,10,0,1,1,0
2,272.99,0,9,0,1,1,0
2,79.39,0,12,0,1,3,0
1,84.95,0,5,0,1,2,0
2,224.79,1,6,1,0,2,0
2,732.2,1,1,1,0,3,0
1,29.99,0,2,1,0,2,0
1,171.14,0,12,0,1,1,0
2,136.09,0,9,0,1,1,1
2,214.83,0,8,1,1,3,1
1,237.95,0,1,1,1,1,1
2,517.64,1,2,0,1,1,0
2,264.03,0,3,1,0,3,0
3,318.33,0,7,1,0,1,0
2,802.93,1,1,1,1,1,0
3,221.57,0,6,1,0,2,1
1,88.53,1,6,0,1,2,0
3,489.16,1,6,0,1,2,0
3,498.09,1,2,1,0,2,0
2,34.52,0,3,0,1,1,1
1,29.99,1,2,1,0,1,1
2,297.07,0,9,1,1,2,1
3,384.02,0,6,1,1,2,0
3,766.19,1,1,1,1,3,0
1,77.74,0,8,1,0,2,0
2,79.72,0,8,0,1,1,0
1,645.93,1,2,1,1,2,0
1,152.5,0,1,0,1,2,0
1,29.99,0,10,1,0,2,1
1,187.1,0,1,1,0,1,0
2,92.83,1,6,0,1,1,0
2,48.94,0,10,1,0,1,0
2,366.59,0,1,1,1,1,1
2,335.82,0,5,1,0,1,0
2,95.65,1,5,1,0,2,0
1,29.99,0,11,0,1,3,0
2,453.42,0,2,1,1,2,0
2,410.2,0,10,1,1,1,0
1,38.91,0,10,1,0,3,0
1,1188.05,1,9,1,0,1,0
