,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
7849,11,29.99,1,0,1,1,2,1,0
40548,8,52.13,1,0,1,0,2,-1,0
25661,12,198.69,1,0,1,0,2,0,0
42491,3,332.5,1,1,2,0,3,0,0
3859,10,29.99,1,0,1,1,2,1,0
302,1,59.13,1,0,2,1,1,-1,0
31398,5,444.1,0,1,1,1,2,0,0
4242,4,127.75,1,0,1,1,1,-1,0
4288,10,29.99,0,1,2,0,1,-1,0
21653,7,29.99,0,1,2,0,1,1,1
19243,1,383.24,0,1,2,0,1,-1,0
5091,7,349.93,1,1,2,1,2,1,0
26938,1,610.89,1,0,2,1,3,-1,0
52163,1,29.99,0,1,1,0,1,1,0
979,1,29.99,0,1,1,0,2,-1,1
12456,5,254.14,0,1,1,1,3,-1,0
26774,3,29.99,0,1,2,0,2,1,1
34623,2,809.67,1,0,2,1,2,1,1
30959,1,943.15,0,1,2,1,3,0,1
10221,12,46.83,0,1,1,1,1,0,0
46774,2,740.96,1,1,2,1,2,-1,1
7998,8,130.79,1,0,1,1,1,-1,0
49277,8,87.14,1,0,1,0,2,0,0
36905,9,45.56,1,0,3,0,1,-1,1
12159,10,298.67,1,0,1,1,2,1,0
50159,2,57.57,1,0,2,0,1,0,0
43145,7,251.25,0,1,1,1,1,1,1
44586,10,229.98,1,0,2,0,1,1,0
52182,11,252.63,1,0,2,0,3,0,0
46587,11,136.57,1,0,3,0,2,-1,1
8845,11,67.42,1,0,2,0,1,1,0
24173,2,49.63,0,1,1,0,2,-1,0
43504,10,395.73,1,1,1,1,3,1,1
36202,10,102.32,0,1,1,0,1,1,1
44116,1,29.99,1,0,1,0,1,1,0
52966,2,407.91,1,1,1,0,1,0,1
8586,7,131.08,0,1,2,0,1,1,1
63107,11,622.07,0,1,3,1,3,-1,0
4144,10,94.67,1,0,2,0,2,1,0
31640,10,198.18,0,1,3,0,2,1,1
22363,8,257.71,0,1,1,0,1,-1,0
59901,1,211.86,0,1,1,1,2,1,0
51370,8,177.29,1,0,1,0,2,0,0
2538,1,29.99,0,1,2,0,1,1,0
43401,2,29.99,0,1,2,1,2,0,0
44104,4,238.94,1,0,2,1,1,-1,0
41687,1,319.65,1,1,1,1,1,-1,1
59856,2,138.76,0,1,2,1,2,0,0
2011,10,29.99,0,1,1,1,1,0,0
2164,10,195.26,1,0,2,0,1,0,1
7973,10,158.52,0,1,1,1,1,-1,1
44296,5,91.1,0,1,1,0,2,1,0
28396,3,410.57,1,0,2,1,3,0,1
42222,6,939.44,1,1,2,1,1,1,0
38716,4,166.13,0,1,1,1,1,0,1
51698,2,853.34,1,1,1,1,1,0,0
54900,9,29.99,0,1,3,1,2,-1,1
15500,4,147.2,1,0,3,1,1,0,0
27488,9,185.15,0,1,2,0,1,-1,0
44016,9,199.62,0,1,2,1,2,-1,0
10204,9,124.46,0,1,1,1,1,-1,0
26319,10,105.8,0,1,2,1,1,0,0
52553,2,93.1,0,1,3,0,2,1,0
5504,9,29.99,1,0,1,1,2,1,0
18328,5,192.51,1,0,1,1,2,0,0
41155,1,296.9,1,1,1,1,2,0,1
28310,2,29.99,0,1,2,1,2,0,0
31937,8,31.1,1,0,2,1,1,1,0
25428,9,140.91,1,0,1,1,2,0,0
13753,2,845.74,1,0,1,1,1,1,0
10487,10,108.63,1,0,2,1,1,-1,0
62920,5,81.48,1,0,3,0,1,1,1
48094,10,49.59,1,0,3,0,2,-1,0
9449,10,47.61,0,1,1,1,1,0,0
58175,1,78.63,0,1,1,1,2,-1,0
38924,1,617.18,0,1,2,1,2,0,0
51162,1,248.08,1,1,2,0,1,0,0
25867,2,914.07,1,1,1,1,2,-1,1
55298,9,29.99,0,1,2,1,2,0,0
47764,7,414.48,0,1,2,0,3,-1,0
29831,10,504.22,1,0,2,1,3,1,0
43898,8,71.79,0,1,1,0,2,1,1
41994,10,73.27,0,1,1,1,1,0,0
32940,2,237.96,1,0,2,0,2,-1,0
6966,2,507.8,1,0,2,1,3,0,1
11746,6,528.39,1,0,1,1,2,1,0
25743,10,60.43,1,0,2,0,2,1,0
12122,9,512.89,0,1,2,1,3,1,0
35861,9,91.82,0,1,2,1,1,-1,0
4968,8,393.64,0,1,1,1,1,0,1
62943,4,365.24,0,1,2,0,2,0,0
59746,1,671.91,0,1,1,1,3,1,0
18630,11,192.11,0,1,2,0,1,1,0
61149,7,120.07,0,1,3,1,1,1,0
50101,7,72.17,1,0,2,0,1,-1,0
59156,5,126.44,1,0,1,0,2,-1,0
30234,3,34.43,1,0,2,0,2,1,0
31197,10,145.54,1,0,3,1,1,1,0
22235,8,191.14,0,1,3,0,2,-1,0
33367,1,29.99,1,0,1,0,1,0,0
8538,9,418.3,1,0,1,1,2,0,0
62325,10,634.17,0,1,1,1,2,0,0
37479,11,161.79,1,0,2,0,1,-1,0
44136,9,124.81,0,1,2,1,2,-1,0
51083,12,171.14,1,0,1,0,1,1,0
7869,1,1198.46,1,0,1,1,3,0,0
58300,6,148.34,1,0,3,1,1,-1,1
9003,5,224.49,1,1,1,1,3,1,0
22565,12,71.27,1,0,3,0,1,0,0
46037,1,410.79,1,0,3,0,3,0,1
35846,12,79.38,1,0,1,0,1,0,0
44125,7,29.99,0,1,2,1,2,-1,0
34261,4,189.88,0,1,1,0,1,-1,0
57423,1,31.98,0,1,2,0,2,-1,0
2472,2,1007.24,1,1,3,1,1,0,0
61085,6,760.17,0,1,1,1,3,0,0
15861,4,78.94,0,1,1,1,1,0,0
35750,1,108.77,0,1,3,0,1,-1,0
23818,9,37.84,0,1,2,1,2,1,0
51156,9,393.98,1,0,1,0,1,1,0
11603,7,156.62,0,1,2,0,2,0,0
60706,5,30.08,1,0,1,0,1,0,0
54176,9,164.28,0,1,1,0,2,0,0
32873,5,90.21,1,0,3,0,2,0,0
7832,11,269.56,0,1,3,0,1,1,0
56503,1,40.18,0,1,1,0,2,1,1
40924,10,60.26,1,0,2,1,2,-1,0
10316,10,142.01,0,1,1,1,1,1,0
57122,10,305.06,1,0,1,0,2,-1,0
13694,1,254.69,1,1,2,0,3,0,0
62793,9,104.64,0,1,2,1,1,0,0
35888,9,104.08,0,1,2,0,2,1,0
32116,9,498.82,0,1,3,0,2,1,0
27394,11,29.99,0,1,1,0,2,0,0
62060,9,29.99,1,0,2,1,2,1,0
5587,1,630.19,1,1,1,1,2,0,1
9535,12,88.38,0,1,2,0,2,1,0
25660,12,29.99,1,0,1,1,1,1,0
14125,2,100.01,0,1,1,1,1,-1,0
48265,2,39.05,1,0,1,0,1,0,0
31147,1,412.4,0,1,3,0,2,-1,0
15120,1,152.18,0,1,1,1,2,1,0
62874,9,74.28,1,0,2,0,2,0,0
51098,3,88.98,1,0,3,0,1,0,1
17720,5,446.86,0,1,2,0,2,-1,0
26120,5,852.28,1,0,1,1,2,-1,0
25032,3,63.1,0,1,3,1,1,0,0
50707,7,327.06,0,1,2,1,3,0,0
12393,9,103.69,0,1,2,0,1,0,0
31023,10,29.99,1,0,2,1,2,1,0
23708,11,29.99,0,1,2,1,2,-1,0
55074,4,37.75,0,1,2,0,2,1,1
32752,12,29.99,1,0,1,1,1,0,0
57332,3,29.99,1,0,1,1,2,-1,0
21205,2,537.77,0,1,2,1,1,1,0
15564,10,554.84,0,1,3,1,3,-1,0
57467,1,29.99,0,1,2,1,1,1,0
11248,2,105.18,1,0,2,1,1,0,0
56227,1,245.63,1,1,2,0,2,-1,1
13492,11,92.0,0,1,3,1,1,1,0
40587,1,576.29,0,1,3,1,2,0,0
27924,6,244.53,0,1,1,1,1,-1,0
42198,9,411.83,0,1,3,0,3,1,1
39267,8,63.73,1,0,1,0,1,0,0
17550,10,29.99,1,0,2,1,1,1,0
8463,2,352.13,0,1,1,0,1,-1,0
57168,11,39.38,0,1,1,0,2,1,1
2716,8,29.99,0,1,1,0,1,1,0
53683,2,72.15,0,1,3,1,1,1,0
36337,4,614.13,1,1,3,1,3,0,1
10241,10,29.99,1,0,2,1,1,1,0
20719,7,161.46,0,1,1,1,1,1,0
14579,6,144.07,0,1,3,0,2,0,0
34570,1,29.99,1,0,2,1,2,-1,1
16496,9,507.09,0,1,3,1,1,-1,0
24813,2,766.77,0,1,2,1,2,1,0
34571,3,1694.68,1,1,3,1,3,0,1
54143,5,491.41,1,0,2,0,1,0,0
55615,1,278.72,1,0,1,0,1,-1,0
37373,6,44.33,0,1,1,0,2,-1,0
2306,11,146.22,0,1,1,1,2,1,0
36995,6,253.67,0,1,3,0,2,-1,0
60027,4,551.47,1,0,3,1,1,0,0
13633,9,167.16,1,0,3,0,1,-1,1
8202,1,159.63,0,1,1,1,2,1,1
51678,7,143.72,0,1,3,0,2,0,0
7616,11,406.63,0,1,2,0,3,-1,1
51367,7,234.32,1,0,1,0,2,0,0
45806,4,102.21,1,0,2,1,2,0,0
28912,10,29.99,1,0,2,0,1,1,0
6693,10,35.15,1,0,2,1,2,-1,0
56661,1,219.73,0,1,1,0,3,1,0
45380,5,29.99,0,1,1,1,1,0,0
54080,10,37.31,0,1,3,1,2,-1,0
59905,4,165.2,0,1,3,0,1,1,0
55433,10,147.78,0,1,3,1,2,1,0
63959,11,143.3,0,1,2,0,1,-1,0
14622,5,30.1,0,1,3,0,2,-1,0
1078,7,316.41,1,1,1,1,3,0,1
9264,3,655.84,1,1,1,1,1,0,0
34685,10,194.84,1,0,3,1,1,1,0
47789,11,406.69,1,1,2,0,2,-1,0
23723,12,275.21,1,0,1,0,2,0,0
52298,2,443.5,1,0,2,1,3,-1,1
18304,2,211.12,0,1,1,0,2,-1,0
33891,10,53.36,1,0,2,1,2,-1,0
2097,3,542.46,0,1,3,1,3,1,0
23678,1,209.56,0,1,3,0,1,1,0
152,1,439.93,1,1,3,1,3,0,0
28075,2,678.04,1,1,2,1,2,0,0
59778,10,51.62,0,1,1,0,2,0,0
42385,2,776.24,1,1,2,1,3,0,0
5113,12,29.99,1,0,1,0,2,-1,1
16449,3,96.15,1,0,2,0,2,0,0
29421,8,147.97,1,0,1,0,1,0,0
28096,1,724.79,0,1,1,1,1,1,0
7063,3,425.0,1,0,2,0,3,-1,0
50511,5,133.73,1,0,1,0,1,0,0
60001,12,73.7,0,1,1,0,2,1,0
41401,3,108.49,0,1,3,1,1,-1,0
8904,11,29.99,1,0,1,1,2,0,0
58589,3,60.73,1,0,2,0,1,-1,0
20005,3,265.03,1,0,2,0,2,-1,0
45268,2,498.52,0,1,3,0,2,0,0
33621,9,327.7,1,1,1,0,1,-1,0
32518,2,117.41,1,0,2,0,1,1,0
5447,8,952.01,0,1,1,1,1,-1,0
7423,7,627.1,1,0,1,1,2,-1,0
40458,5,183.63,1,0,1,0,1,-1,0
37941,8,540.86,0,1,2,1,3,-1,0
13348,11,29.99,1,0,2,0,2,0,0
9997,7,82.41,0,1,1,1,2,-1,0
14011,12,159.86,1,0,2,1,1,1,0
39519,10,67.16,1,0,3,0,2,1,0
47381,10,81.2,0,1,1,0,1,-1,1
2155,2,111.47,0,1,2,0,2,0,0
52696,3,178.59,0,1,2,1,2,0,0
17608,8,117.86,1,0,2,0,2,-1,0
21240,8,76.35,0,1,1,1,2,-1,0
26736,1,564.19,0,1,1,1,3,-1,1
63385,11,36.91,0,1,2,0,1,0,0
41397,3,232.91,0,1,3,0,1,0,1
48087,11,334.25,0,1,2,0,2,1,0
49041,10,668.11,0,1,1,1,2,0,1
27977,8,45.44,0,1,2,1,1,-1,0
28039,2,76.53,1,0,3,0,1,1,1
31504,5,81.84,1,0,3,0,2,-1,0
55399,7,410.87,1,1,1,0,2,0,1
44526,4,134.19,0,1,1,1,2,0,0
13581,2,29.99,1,0,1,0,1,-1,1
4491,2,366.24,1,1,1,0,1,-1,1
19608,12,890.77,1,1,1,1,3,1,1
44880,3,29.99,0,1,2,1,1,1,0
38561,1,29.99,0,1,2,0,1,-1,1
30703,4,285.74,0,1,1,0,1,1,1
31661,4,47.46,0,1,1,0,1,0,0
12464,1,149.53,0,1,1,1,1,-1,0
26465,2,29.99,0,1,1,0,2,1,1
41134,1,223.08,0,1,2,0,2,-1,0
16127,10,261.42,1,0,1,1,1,-1,0
15003,6,64.72,1,0,1,0,1,0,0
8177,1,73.17,1,0,2,0,1,1,0
19157,6,245.62,0,1,1,0,3,-1,0
38207,10,37.99,0,1,2,0,1,0,0
53493,7,45.14,0,1,1,0,1,-1,0
26007,3,208.15,0,1,1,0,3,-1,0
41610,6,181.74,1,0,1,0,2,1,1
4675,3,278.48,0,1,2,0,2,0,0
3538,10,29.99,1,0,1,1,2,0,0
52815,1,161.03,1,0,2,1,2,0,0
1366,1,1029.36,1,1,2,1,3,0,1
12352,6,232.34,0,1,2,0,1,-1,0
4880,3,29.99,0,1,1,1,2,1,0
43577,11,626.31,1,1,1,1,2,-1,0
35422,3,101.59,0,1,3,0,1,1,0
9639,10,65.37,0,1,1,0,1,0,0
30531,5,193.4,0,1,2,0,1,-1,0
15556,10,90.52,0,1,1,0,1,-1,0
55073,7,29.99,0,1,2,1,1,1,0
52748,1,367.17,1,0,1,0,3,1,0
59810,1,354.87,1,0,2,0,1,1,0
53548,11,49.26,1,0,2,1,1,0,1
41099,1,127.41,0,1,1,1,1,1,0
1348,10,492.02,1,0,1,1,1,1,0
62666,1,96.03,0,1,3,1,2,-1,0
23503,9,383.89,1,1,2,1,2,1,0
21123,10,139.67,1,0,1,1,1,1,0
47294,9,186.81,0,1,1,0,1,1,0
40382,6,254.41,0,1,2,1,3,0,0
63994,7,86.46,0,1,2,0,1,-1,0
3352,6,106.98,1,0,2,0,1,1,0
18340,6,176.42,1,0,3,1,1,1,1
3916,2,252.91,1,0,2,0,1,-1,0
60913,8,104.79,1,0,2,1,1,1,0
26948,10,293.55,0,1,1,0,2,0,0
26260,4,374.11,0,1,2,1,2,-1,0
42420,5,376.49,1,1,3,0,3,-1,1
41922,8,454.94,0,1,1,0,1,1,0
53731,9,203.46,1,0,1,1,2,-1,0
38310,3,694.46,0,1,2,1,1,1,0
24346,1,129.06,0,1,2,1,2,0,1
5825,3,569.87,0,1,1,1,2,-1,0
13248,4,1195.85,0,1,3,1,2,0,0
13647,2,29.99,0,1,1,1,2,0,0
55777,9,140.82,1,0,2,0,2,-1,0
57629,1,387.3,0,1,3,1,2,1,0
56170,7,29.99,0,1,1,1,1,1,0
29089,5,146.96,0,1,3,1,2,-1,1
883,9,29.99,0,1,1,0,2,1,0
58424,10,134.13,0,1,1,0,1,-1,0
43576,8,122.87,0,1,2,1,2,1,0
13313,5,422.85,0,1,1,0,3,0,0
6562,2,179.81,1,0,1,1,1,1,0
6518,1,508.26,0,1,1,1,3,-1,1
27884,2,29.99,0,1,2,0,1,0,0
37428,1,29.99,0,1,1,0,2,-1,0
8323,10,203.49,1,0,1,1,2,1,0
18894,2,107.01,1,0,1,1,2,-1,0
41170,6,41.65,0,1,1,1,2,0,0
10695,1,134.14,1,0,1,1,2,1,1
48162,12,348.25,1,0,3,0,3,0,0
39152,10,190.88,1,0,3,1,1,1,0
56473,10,483.76,0,1,2,0,2,-1,0
10443,3,176.45,0,1,2,0,2,-1,0
54549,3,48.33,0,1,2,0,2,1,0
55698,10,29.99,1,0,2,0,1,0,0
22511,10,166.97,1,0,2,0,2,0,0
13142,1,74.77,1,0,2,0,2,-1,0
2617,8,115.67,1,0,1,1,2,1,0
34016,1,199.76,0,1,1,0,2,1,0
47467,11,199.06,0,1,2,0,1,1,0
22,2,118.4,1,0,1,0,1,-1,1
29136,4,519.24,1,0,3,1,3,1,0
11442,10,425.2,1,0,1,0,3,0,0
31793,1,29.99,0,1,2,0,1,-1,1
61708,2,505.17,1,0,1,1,1,-1,0
18530,7,443.58,1,0,1,1,3,1,0
41424,12,92.85,1,0,2,1,2,-1,0
48187,10,280.53,0,1,2,1,2,-1,0
54026,1,274.31,1,0,1,1,3,1,0
14910,5,250.63,1,0,1,0,1,1,0
29634,3,37.31,1,0,1,1,2,1,0
60053,1,29.99,0,1,3,1,2,1,0
7996,3,394.92,0,1,3,0,2,1,0
22168,3,790.75,0,1,3,1,1,-1,1
52234,4,47.62,1,0,1,1,1,-1,0
12137,11,133.32,1,0,3,0,1,0,0
54879,9,145.14,0,1,1,0,1,0,0
58779,12,166.75,1,0,1,0,2,1,0
56805,9,872.6,1,1,1,1,3,0,0
4274,9,127.42,0,1,2,1,1,1,0
11491,9,350.46,0,1,1,0,2,0,0
46153,1,733.39,1,1,2,1,3,0,0
11702,10,295.64,0,1,2,1,2,0,0
959,4,553.91,0,1,3,1,2,-1,1
61677,10,353.56,1,0,2,1,1,-1,0
46118,10,81.64,0,1,2,0,2,-1,0
15348,11,29.99,0,1,1,1,1,1,0
2548,8,144.84,0,1,1,0,1,0,1
29812,1,459.3,1,0,1,0,3,1,0
50753,7,220.25,0,1,2,0,1,1,0
5711,11,304.85,1,1,2,0,2,1,0
13704,9,29.99,0,1,1,1,2,-1,0
41116,7,32.83,1,0,2,0,2,1,0
30555,7,179.24,0,1,2,0,1,-1,0
35077,11,29.99,0,1,2,1,1,1,0
24417,11,84.81,1,0,1,1,1,0,0
7655,12,119.73,0,1,1,0,2,-1,0
35475,3,548.66,0,1,2,1,2,-1,0
32705,4,861.4,1,0,1,1,2,-1,0
14847,12,273.83,0,1,3,1,3,1,0
29528,10,31.36,0,1,1,0,1,0,0
14554,6,231.91,0,1,2,0,1,-1,0
2947,9,90.2,0,1,1,1,1,-1,0
45021,9,107.28,1,0,2,0,1,1,1
53581,10,32.11,0,1,2,1,2,-1,0
46429,10,29.99,0,1,1,0,2,0,0
27495,11,106.38,0,1,2,1,2,0,0
22553,5,29.99,0,1,1,1,1,0,0
34438,5,88.52,1,0,2,0,2,1,0
4906,2,286.24,1,0,3,0,3,1,0
61852,4,29.99,0,1,2,0,2,0,0
23037,10,115.18,0,1,1,1,2,1,0
49314,7,140.88,1,0,1,0,1,1,0
55884,1,147.46,0,1,1,0,2,0,0
38033,4,688.81,1,1,2,1,2,1,0
2002,11,270.65,1,0,1,0,1,-1,0
54182,1,29.99,1,0,1,1,1,-1,0
62160,9,34.7,1,0,1,1,1,-1,1
4731,5,31.74,1,0,1,0,1,1,0
38591,6,226.22,1,0,3,0,2,-1,0
28134,1,70.21,0,1,1,0,2,0,0
25427,9,363.29,0,1,3,0,1,1,1
7893,3,62.36,0,1,1,1,1,0,0
20736,2,669.6,0,1,2,1,3,-1,0
56299,5,556.53,0,1,1,1,2,-1,0
36027,4,29.99,1,0,1,0,1,1,0
8265,9,122.59,1,0,1,0,2,1,0
39313,4,100.4,1,0,1,0,2,1,1
58591,2,142.79,1,0,3,1,1,-1,1
52030,7,299.56,1,0,1,0,1,1,0
39301,4,183.82,1,0,1,0,2,-1,0
12380,8,144.18,0,1,2,0,2,0,0
50331,8,1014.81,0,1,1,1,2,-1,0
47331,2,65.72,1,0,1,0,2,-1,0
26569,10,55.37,1,0,1,0,2,1,0
30094,4,640.46,0,1,1,1,1,1,0
51339,9,501.7,1,0,2,1,1,-1,0
18795,9,625.06,0,1,1,1,1,0,0
15201,1,144.01,0,1,1,0,2,-1,0
33747,2,465.86,0,1,2,1,1,1,0
35537,7,390.14,0,1,2,1,2,-1,0
6256,7,325.75,1,0,2,0,1,-1,0
4775,9,152.62,1,0,1,1,2,-1,0
16947,2,29.99,1,0,2,0,1,-1,0
12925,5,204.65,0,1,2,0,2,0,0
14745,3,242.03,0,1,1,0,1,-1,0
39761,3,293.93,0,1,1,0,3,-1,0
63450,7,174.59,1,0,1,1,2,1,0
22531,11,303.91,1,0,1,1,2,0,0
2655,9,965.83,0,1,2,1,2,1,0
47107,5,154.17,0,1,2,1,2,0,0
8701,9,135.29,0,1,1,1,1,-1,0
7693,10,132.58,1,0,3,0,1,-1,0
62090,8,492.15,0,1,2,0,1,1,1
12519,9,258.26,1,0,2,0,3,0,0
34597,1,156.16,0,1,2,0,1,1,1
34936,12,96.36,0,1,2,0,1,1,1
60415,2,463.93,1,0,2,0,3,-1,0
29269,8,279.03,0,1,2,1,2,0,0
27736,6,29.99,0,1,2,1,1,0,0
33573,2,51.27,0,1,2,1,2,-1,0
4218,4,104.13,1,0,1,0,2,1,0
58436,9,97.83,1,0,3,1,2,0,1
51802,3,66.3,0,1,3,1,2,-1,0
44318,7,29.99,0,1,1,1,1,-1,0
17463,6,613.96,1,0,1,1,3,1,1
40656,9,549.89,1,0,1,1,2,1,0
41014,10,53.76,0,1,1,1,1,-1,0
45120,1,245.07,1,0,2,1,1,0,0
52037,5,296.97,0,1,2,0,2,-1,1
44439,4,96.63,0,1,1,0,1,1,0
33540,1,29.99,0,1,3,1,2,-1,0
55579,2,249.96,1,1,2,0,3,1,0
45173,7,167.05,1,0,2,0,2,-1,0
19110,10,29.99,0,1,1,0,1,1,0
51495,11,129.29,1,0,1,0,2,1,0
12973,1,76.52,0,1,1,1,2,1,0
56430,8,96.12,1,0,1,1,1,1,0
18463,1,161.37,0,1,1,0,1,0,0
58427,3,244.93,1,0,3,0,2,1,0
18385,2,140.94,0,1,2,1,2,-1,1
26576,9,29.99,1,0,1,0,1,1,0
48280,4,29.99,0,1,2,0,2,0,0
45750,10,123.75,0,1,1,1,1,1,0
8976,6,97.77,1,0,2,0,2,1,0
47650,9,702.49,1,1,3,1,1,0,0
62598,3,193.46,1,0,2,1,2,0,0
39572,10,29.99,1,0,2,0,2,0,0
49761,9,29.99,1,0,2,1,1,0,0
29971,1,1060.3,1,1,3,1,2,1,1
24147,5,586.24,0,1,2,1,2,0,0
38223,10,95.38,0,1,2,0,2,1,0
61383,9,326.22,1,0,2,0,1,0,0
986,1,30.08,1,0,1,0,1,1,0
1685,2,382.97,0,1,3,1,2,0,0
5354,5,50.46,1,0,1,0,1,-1,0
30258,12,179.01,0,1,2,1,2,-1,0
3870,2,303.53,0,1,2,0,2,-1,0
41344,9,268.71,0,1,1,0,3,1,1
36556,4,93.88,0,1,2,1,1,0,0
37774,4,50.43,0,1,3,1,1,1,0
28778,9,116.02,0,1,2,0,2,0,0
25646,8,174.39,1,0,2,0,1,-1,0
21727,11,150.6,1,0,2,1,2,0,0
43344,8,32.87,1,0,1,1,2,1,0
41714,1,66.28,1,0,2,0,2,1,0
4833,8,209.43,0,1,1,0,1,1,0
49679,4,69.35,0,1,1,0,1,0,0
25760,3,327.32,1,1,3,0,2,1,1
60804,12,195.67,0,1,1,0,1,0,0
7853,3,37.88,0,1,2,1,2,0,0
22514,2,90.83,1,0,1,1,2,1,0
98,1,106.27,0,1,1,0,1,1,0
8416,1,499.95,0,1,2,0,3,-1,0
12397,9,152.96,1,0,2,0,1,0,0
53098,10,225.77,1,0,2,0,2,1,0
32893,4,29.99,1,0,1,1,1,0,0
43253,10,502.61,1,0,1,1,1,0,0
8850,5,199.22,1,0,2,0,2,0,0
60609,11,239.61,0,1,2,0,1,1,0
47396,5,138.39,0,1,2,0,2,1,0
5172,3,70.95,0,1,3,0,1,1,0
51949,1,363.55,1,1,2,1,3,0,0
37659,6,65.97,1,0,1,0,1,-1,0
28870,5,77.45,0,1,1,1,1,0,0
30933,10,198.71,0,1,1,1,1,-1,0
18639,1,67.99,1,0,2,0,2,1,0
26194,2,196.53,1,0,3,1,1,0,1
50008,11,43.47,0,1,2,1,1,0,0
57963,12,59.17,1,0,1,0,2,0,0
2093,1,50.43,0,1,2,0,2,1,0
18031,1,368.94,1,0,2,0,2,-1,0
51849,3,29.99,0,1,2,0,2,1,0
52013,3,165.54,0,1,1,1,2,1,0
27800,5,193.36,1,0,2,1,2,0,0
58668,10,157.16,0,1,1,0,1,0,0
20727,5,59.93,1,0,1,1,2,-1,0
39279,9,510.54,0,1,1,1,1,-1,0
27027,1,51.22,0,1,2,0,1,0,0
19472,1,32.46,0,1,3,0,2,1,0
38899,6,29.99,1,0,1,0,1,0,1
31812,8,109.36,0,1,3,1,1,-1,0
48442,3,359.81,1,0,2,0,3,1,0
12087,2,29.99,0,1,1,0,2,1,0
15330,11,164.73,0,1,2,0,1,1,0
55333,1,2080.11,1,1,1,1,3,0,0
5174,10,128.6,0,1,1,0,2,0,0
17633,5,29.99,0,1,1,1,1,0,0
35,4,218.72,0,1,2,0,3,1,0
57640,9,46.62,0,1,3,1,1,-1,0
55781,4,159.05,0,1,2,1,2,-1,1
52515,12,126.76,1,0,2,0,1,1,0
21181,6,99.42,0,1,1,0,1,-1,1
3733,1,253.35,0,1,1,1,2,1,0
23442,9,141.98,0,1,2,0,1,1,1
5210,3,29.99,0,1,2,0,1,0,1
63404,10,88.42,0,1,2,1,1,-1,0
22228,1,737.48,1,1,1,1,2,1,0
36230,2,29.99,1,0,2,1,1,1,0
57214,8,278.19,0,1,3,0,1,0,0
43403,3,282.47,1,0,3,1,1,1,0
55362,10,32.98,1,0,3,0,2,1,0
60579,4,130.6,0,1,2,1,1,-1,0
258,9,239.91,0,1,3,0,2,0,0
61471,1,37.35,0,1,2,0,2,-1,0
38043,3,70.97,0,1,3,1,1,-1,0
59851,4,296.25,1,0,1,0,2,0,1
26960,11,378.57,0,1,2,0,1,-1,1
24644,4,364.76,0,1,1,0,1,0,0
48340,5,404.83,1,0,2,1,1,-1,0
8031,9,491.91,1,0,1,0,1,0,0
48531,3,126.77,1,0,1,0,1,0,0
12035,9,31.26,1,0,2,1,1,1,0
14531,7,108.76,0,1,2,1,1,0,0
47145,7,452.13,1,0,1,0,3,0,0
3078,8,67.97,0,1,1,0,1,0,0
6557,2,416.4,0,1,1,1,3,0,0
12053,6,126.57,0,1,1,0,2,-1,0
54876,11,128.81,0,1,1,0,2,1,0
24214,1,690.83,0,1,1,1,3,0,0
36068,10,29.99,0,1,3,1,2,0,0
39574,1,73.53,1,0,1,0,2,0,0
